data,B6D2F1,BXD1,BXD11,BXD11TY,BXD12,BXD13,BXD14,BXD15,BXD16,BXD19,BXD2,BXD21,BXD23,BXD24,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD38,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD5,BXD51,BXD6,BXD60,BXD62,BXD69,BXD73,BXD77,BXD8,BXD85,BXD86,BXD9,BXD92,C57BL6J,DBA2J
9630033F20Rik,1.295,1.8025,1.68,1.305,1.9175,1.56,0.024,1.4155,0.043000000000000003,1.6585,0.0445,0.09250000000000001,-0.0655,1.962,0.11250000000000002,1.338,-0.0135,2.0025,-0.0315,-0.145,2.086,0.0945,1.7525,1.6975,-0.0315,0.11649999999999999,1.6505,0.193,0.3215,1.1324999999999998,2.0795,-0.07,1.7825,1.7115,1.8415,2.0765000000000002,2.1285,0.162,2.0105,2.009,2.0060000000000002,2.023,0.14736363636363636,1.569857142857143
A430107O13Rik,0.28883333333333333,0.1335,0.079,0.299,0.145,-0.0795,0.349,0.105,0.3125,0.33,0.4205,0.17500000000000002,0.043500000000000004,0.10800000000000001,0.2605,0.22749999999999998,0.1375,0.1915,0.236,0.22049999999999997,0.23500000000000001,0.17350000000000002,0.3035,0.235,0.1915,0.28550000000000003,0.125,0.2955,0.11900000000000001,0.1815,0.34099999999999997,0.1585,0.078,0.217,5.418,0.3385,0.109,0.17200000000000001,0.4445,0.378,0.126,0.26849999999999996,0.29818181818181816,0.13485714285714287
Abcc3,2.1121666666666665,1.6280000000000001,1.834,2.283,1.7235,1.9535,1.7970000000000002,1.931,2.191,2.2664999999999997,1.4885000000000002,1.4329999999999998,1.7145000000000001,1.0415,1.483,1.738,2.1915,1.7515,2.04,1.94,1.306,1.2454999999999998,2.008,2.034,1.8125,1.751,1.8079999999999998,1.6075,1.9575,-1.242,1.82,1.9445000000000001,1.9235,2.1064999999999996,2.215,2.0335,1.8515000000000001,1.64,2.431,2.2990000000000004,1.891,2.1879999999999997,2.0057272727272726,1.763642857142857
Abcd2,0.36000000000000004,0.8624999999999999,0.17,1.547,0.09299999999999997,-0.6639999999999999,0.21799999999999997,1.0245,1.2145,0.821,-0.3819999999999999,-0.8185,0.5525,-1.961,-0.9040000000000001,0.714,-0.4325,-0.9764999999999999,0.22,0.1875,-0.6635,0.181,1.0334999999999999,-0.13349999999999995,0.469,0.03200000000000003,-0.466,-0.6635,0.404,0.46799999999999997,-0.10000000000000009,0.981,-0.7370000000000001,0.15149999999999997,-0.5515,1.2525,-0.8365,-0.6995,-0.4415,-1.171,-0.679,-1.0839999999999999,0.7683636363636364,0.04442857142857142
Acnat2,1.8068333333333333,2.738,0.912,3.276,1.9100000000000001,2.1535,2.1535,1.4969999999999999,2.483,2.427,2.032,1.55,3.1205,2.042,1.1415,0.9829999999999999,1.695,2.2845,3.357,1.8905,2.013,1.2294999999999998,2.417,1.999,1.3255,1.598,1.54,2.449,1.328,1.559,1.8724999999999998,1.6515,2.0949999999999998,2.0465,2.1505,2.3805,1.9875,2.355,1.951,2.6915,2.5385,1.7885,2.0998636363636365,3.0477142857142856
Acot3,1.659,1.2265,0.73,1.89,0.44399999999999995,0.8624999999999999,0.9000000000000001,1.3785,0.517,0.619,0.44599999999999995,0.669,0.942,-0.079,0.939,0.7455,2.5015,1.0625,2.253,2.3775,1.7594999999999998,0.8180000000000001,1.7585,1.6955,1.0585,0.921,1.3165,0.9125000000000001,0.6184999999999999,0.9035000000000001,1.8455000000000001,1.7385000000000002,1.449,3.4105,1.6865,2.628,0.78,1.014,2.2645,1.1565,1.682,1.332,2.187272727272727,1.6645
Adam28,-1.1740000000000002,-0.8414999999999999,-0.808,-1.84,-0.7985,-0.817,-1.5470000000000002,-0.9115,-1.8889999999999998,-1.7505000000000002,-1.576,-0.8995,2.1245,-1.3605,-0.821,-0.9430000000000001,-0.9005000000000001,-1.2575,-1.4965000000000002,-1.119,-1.4645000000000001,-0.9525,-1.2650000000000001,-0.9815,-0.8605,-0.915,-1.0635,-1.2955,-1.6815,-0.8345,-1.689,-0.843,-1.149,-1.4649999999999999,-1.8295,-1.7355,-1.154,-1.283,-1.7525,-1.758,-0.903,-1.7335,-1.1208636363636364,-1.1360714285714286
Adamts7,2.4995,2.1414999999999997,1.556,1.802,2.4275,1.3384999999999998,1.175,1.599,2.3594999999999997,2.2714999999999996,1.7985,1.778,1.7954999999999999,0.257,0.5569999999999999,2.0404999999999998,1.6965,1.9609999999999999,0.9359999999999999,1.664,1.752,2.0975,2.2105,2.7,1.6155,1.7215,2.63,2.0435,2.02,1.3780000000000001,1.5585,2.101,1.654,1.875,2.7865,2.981,2.7649999999999997,2.1020000000000003,2.511,2.439,0.7819999999999999,2.831,1.7701818181818183,2.674357142857143
Adh6-ps1,1.3803333333333334,1.706,0.762,-0.509,0.12299999999999997,0.4675,0.03700000000000003,1.6764999999999999,1.8075,0.4655,1.0635,0.903,1.3895,2.6785,-0.017500000000000016,1.5835,1.685,1.159,-0.435,0.02150000000000002,0.3665,0.244,1.8055,1.4255,1.379,0.5255000000000001,1.5965,1.9569999999999999,1.9344999999999999,0.9625000000000001,-0.03849999999999998,1.6320000000000001,1.527,1.4705,0.534,1.1925,2.3545,0.9864999999999999,1.938,2.0185,1.055,0.735,1.4605909090909093,0.18721428571428572
Agpat9,0.8334999999999999,1.5405,-0.384,0.672,1.3245,0.025500000000000023,0.9970000000000001,0.534,2.2215,0.38949999999999996,1.951,1.7845,1.612,1.674,-0.12349999999999997,1.4785,0.08050000000000002,1.8094999999999999,0.28,1.7974999999999999,1.878,1.0554999999999999,1.8925,-0.32249999999999995,1.2055,1.415,1.4985,-0.18400000000000002,1.5270000000000001,1.5345,1.935,0.6235,0.16049999999999998,1.927,0.271,1.8649999999999998,1.5675,0.34500000000000003,1.7945,0.4535,0.8494999999999999,-0.05450000000000002,0.08231818181818183,1.7929285714285714
Alad,2.4643333333333333,2.7615,1.794,1.676,1.5705,2.9035,1.3115,2.9195,1.657,1.7005,1.445,1.6124999999999998,1.597,2.5915,1.4645000000000001,1.5225,1.7885,1.5590000000000002,1.7515,1.5795,2.4935,1.811,1.685,1.8255,1.76,3.1875,2.7375,2.847,1.5135,1.8485,2.6855,1.626,2.8085,3.2895000000000003,3.0755,2.7295,2.886,1.6465,2.8,1.7675,1.476,3.041,1.6818181818181819,2.821857142857143
Alas1,2.0015,1.6215,1.095,0.0,2.1745,2.1494999999999997,1.6435,1.004,0.4325,-0.175,0.49749999999999994,0.33449999999999996,1.7275,2.1205,2.3215,0.72,3.2845,1.1415,2.1790000000000003,2.657,1.3675000000000002,1.4485,0.3305,1.3685,1.0545,1.226,1.872,0.866,1.1205,0.9605,1.4245,1.572,2.5895,2.842,1.596,2.194,2.093,0.8425,1.7685000000000002,1.072,2.5214999999999996,1.0135,2.2779545454545453,1.4051428571428572
Aldh4a1,1.9635,2.213,1.284,1.168,2.193,2.577,1.8515,2.5365,2.1925,1.2045,0.8275,2.3449999999999998,2.059,1.0825,2.2105,1.335,1.326,2.2729999999999997,2.3499999999999996,2.6995,2.1494999999999997,2.2575000000000003,1.083,1.3815,1.272,1.4465,1.2675,2.1235,0.8865000000000001,1.4655,1.1905000000000001,1.3290000000000002,1.117,1.4729999999999999,2.2585,1.3399999999999999,1.147,2.225,2.316,1.0535,1.3995,1.414,1.1396818181818182,2.3176428571428573
Alkbh2,1.4816666666666667,0.6375,2.307,1.54,1.794,0.63,1.158,0.5745,2.0075,0.6525000000000001,1.984,2.3045,1.027,2.2615,1.0355,1.8925,0.9155,2.114,1.6520000000000001,2.178,1.841,1.8094999999999999,1.7125,0.6835,0.954,2.1864999999999997,2.051,1.459,1.8905,1.9385,2.0335,1.9235,1.7309999999999999,2.3,0.628,2.2065,0.6505,1.8479999999999999,1.892,0.645,1.3895,0.7735000000000001,0.9748181818181819,1.8752857142857144
Aox3,0.4821666666666667,0.9015,1.248,0.373,1.2365,0.8380000000000001,0.5754999999999999,-1.5295,-1.4775,-0.8215,1.672,1.343,0.642,1.1965,-2.1305,-0.9675,1.2215,-0.8245,-2.213,1.031,-1.1869999999999998,0.9275,-0.97,0.544,-0.951,-1.728,-1.674,0.609,1.4115000000000002,0.585,0.7754999999999999,-1.2625000000000002,0.6255,-2.537,0.882,-3.0084999999999997,-1.277,-0.5645,-2.181,-1.062,0.528,-1.8915000000000002,0.5469090909090909,-1.9073571428571428
Apcs,2.6134999999999997,1.795,2.58,3.645,1.201,1.0295,2.9055,1.1920000000000002,2.062,1.829,3.409,1.6949999999999998,3.4955,3.511,3.2525,1.2165,0.9385,3.8419999999999996,1.6709999999999998,2.6715,2.221,1.3075,3.311,1.6515,1.7425000000000002,3.1495,3.3525,1.8305,3.2535,3.262,2.012,1.3570000000000002,3.499,3.5975,3.832,2.5170000000000003,3.2495000000000003,3.6020000000000003,2.0665,3.6870000000000003,3.3385,3.4335,1.2526818181818182,3.964642857142857
Aqp11,0.6204999999999999,1.0125000000000002,1.15,1.148,-0.1165,-0.1515,-0.1805,0.010999999999999996,1.16,1.0095,0.9345,0.8355,-0.3115,-0.808,-0.481,1.122,0.162,-0.069,0.8285,-0.0335,1.0614999999999999,1.013,1.0534999999999999,1.105,-0.3735,0.8654999999999999,1.4425,0.25,0.9015,-0.2735,-0.21350000000000002,1.2325,0.2165,-0.019999999999999997,0.065,1.738,-0.046,0.966,1.3305,-0.2755,-0.36,1.0785,1.1548181818181817,-0.02807142857142857
Aqp8,2.503833333333333,1.9515,2.414,2.771,1.9175,3.0324999999999998,1.0995,2.847,2.2065,2.8049999999999997,2.6965,2.6685,2.4485,2.324,1.6384999999999998,2.8895,1.8805,2.7005,2.2955,2.6310000000000002,2.5345,2.975,2.924,2.7249999999999996,2.9195,2.8725,3.0075,3.7475,3.0435,3.0035,3.023,2.3745,2.6479999999999997,2.543,2.88,1.3285,2.943,3.2235,1.7530000000000001,2.652,1.516,2.2115,1.837818181818182,3.062214285714286
Arrdc3,0.7138333333333332,0.8009999999999999,1.266,0.28,0.562,0.5415,-0.02400000000000002,0.7244999999999999,0.14900000000000002,0.1805,-0.52,1.1875,-0.10849999999999999,0.8525,0.5625,0.9339999999999999,0.06300000000000001,0.7135,0.304,1.7810000000000001,0.094,0.8505,1.5474999999999999,0.658,0.7735,0.6855,1.417,0.4835,1.5965,1.0434999999999999,1.5179999999999998,-0.07500000000000001,0.636,0.8205,0.2235,0.055499999999999994,0.4395,0.256,1.4625,0.8875,-1.0865,0.9415,0.424,0.32471428571428573
Art5,1.074,1.855,-0.318,-0.28,1.6555,1.8415,1.323,-0.2935,1.8820000000000001,1.4495,1.791,-0.5175000000000001,1.5985,1.383,-0.27149999999999996,1.8625,2.293,1.9925,-0.126,-0.258,0.7424999999999999,-0.34199999999999997,-0.3705,1.6755,1.576,-0.403,1.7505,1.8195000000000001,-0.426,1.7214999999999998,-0.2765,1.7275,1.6,2.0225,-0.328,1.3805,1.8155000000000001,-0.348,-0.35050000000000003,-0.388,1.4585,-0.366,1.950909090909091,-0.359
BC016495,0.2238333333333333,-0.3205,-1.054,-0.363,0.249,-0.8310000000000001,0.446,0.03899999999999998,-1.153,-0.057,0.0315,-0.45799999999999996,-0.132,0.3075,0.878,0.0,1.1035,0.08450000000000002,-0.237,1.3285,0.1625,0.1155,-0.5680000000000001,0.6829999999999999,0.2235,-0.087,-0.252,-0.1475,0.022499999999999996,-0.086,-0.585,0.10999999999999999,0.6535,0.6925,0.49149999999999994,1.6085,-0.322,-0.6054999999999999,1.035,0.198,0.286,-0.177,0.7690454545454546,-0.5705
BC023105,1.3,1.1280000000000001,0.656,1.686,1.0155,0.9299999999999999,1.0565,0.9515,1.1945000000000001,1.471,1.53,1.632,1.0245,1.03,1.309,1.3485,1.19,2.6675,1.8345,1.673,3.7409999999999997,0.914,2.3515,1.097,1.487,1.6495,1.9595,2.3565,1.312,2.0175,1.9809999999999999,0.7825,1.5419999999999998,3.7264999999999997,1.8235,2.9194999999999998,1.2445,1.7650000000000001,1.62,1.6155,1.349,1.39,0.9480000000000001,1.2522857142857142
BC026762,-0.12933333333333333,0.5495000000000001,-0.202,-0.671,-0.567,0.5215,0.31149999999999994,1.3765,-0.626,1.687,-0.5275,-0.418,-0.7335,-0.42400000000000004,0.20550000000000002,-0.008500000000000008,1.173,-0.41600000000000004,-0.5994999999999999,0.631,-0.6555,-0.165,-0.5415,1.195,0.788,-0.304,-0.247,1.655,0.8995,-0.0805,-0.4705,1.3399999999999999,0.48550000000000004,-0.6435,0.979,-0.427,0.893,1.2690000000000001,-0.3665,1.355,0.6765,1.3345,0.6875,-0.2815714285714286
