data,B6D2,BXD1,BXD100,BXD101,BXD102,BXD103,BXD11,BXD12,BXD14,BXD24,BXD27,BXD29,BXD31,BXD32,BXD34,BXD39,BXD40,BXD42,BXD43,BXD44,BXD45,BXD48,BXD49,BXD50,BXD56,BXD60,BXD62,BXD63,BXD65,BXD68,BXD69,BXD70,BXD71,BXD73,BXD75,BXD79,BXD80,BXD83,BXD84,BXD85,BXD87,BXD89,BXD90,BXD92A,BXD95,BXD97,BXD99,C57BL/6J,D2B6F1,DBA/2J
Mcee,10.8765,10.224,10.172,10.741,10.884,10.596499999999999,10.8205,10.47,10.341,10.43,10.998000000000001,10.5655,10.725999999999999,10.1295,10.3165,10.658,10.325,11.096,10.631,10.847999999999999,10.9815,10.568999999999999,10.881,10.812999999999999,10.5825,10.54,10.269,10.736,10.6215,10.6585,10.7595,10.945,10.7605,10.6195,10.5195,10.382,10.225999999999999,10.181999999999999,10.575,10.6775,10.759,10.675,10.096,10.6915,10.9525,10.821,10.989,10.878,10.2105,10.341999999999999
Meg3,12.708,12.9335,13.018,12.494,11.204,11.882,12.558499999999999,12.664,12.563,12.296,12.4375,12.706,12.5155,12.5025,12.6335,12.961,12.299,12.229,11.218,12.068999999999999,12.195,12.436499999999999,12.148,12.4185,12.503,11.653500000000001,12.054,12.495,12.4195,12.504,10.963000000000001,12.5895,12.599,11.978,12.4805,12.324,11.5725,12.833,12.06,12.357,12.316500000000001,12.47,12.78,12.1675,12.497,12.747,12.696,12.473500000000001,12.766,12.6995
Megf6,10.833,11.1685,10.906500000000001,10.8395,10.843,10.657499999999999,10.850999999999999,10.618,11.428,10.906,10.591,10.8285,10.989999999999998,10.549,10.3725,11.187,11.053,10.636,10.332,10.6475,10.879,10.7,11.023,11.157,10.7175,10.6555,10.503499999999999,10.87,10.64,10.684000000000001,10.756,10.8255,10.873,10.9665,11.108,10.76,10.756499999999999,11.155000000000001,11.055,10.722999999999999,10.7915,10.7755,11.0085,10.6575,10.6175,11.1235,10.823,10.7365,10.621500000000001,10.7695
Mela,10.96,11.6665,6.8125,11.4965,7.174,11.6905,6.911,11.788,7.022,6.699,7.321,11.6295,6.6185,6.855,6.3685,11.483,11.5345,6.8,6.977,11.5495,11.651499999999999,6.292999999999999,11.678,6.994,6.4805,7.145,6.558,11.716,7.214,6.779,11.5275,11.5495,11.6695,11.5335,11.448,11.555,11.42,11.751000000000001,11.008,11.683,6.826499999999999,11.845,11.631499999999999,6.4864999999999995,11.626999999999999,7.2305,11.908,7.019,10.947500000000002,11.551
Mest,11.413,11.2725,11.081,11.399000000000001,11.5,11.3995,11.437000000000001,11.421,11.282,10.685,11.4665,11.425999999999998,11.2835,10.9705,11.3445,11.298,11.048,11.305,11.139,11.545,11.385,11.3305,11.424,11.48,11.45,11.236,10.8625,11.446,11.391,11.4855,11.271,11.532499999999999,11.425,11.2725,11.2925,11.325,11.132,11.2775,10.343,11.2745,11.538,11.361999999999998,11.183499999999999,11.4885,11.445,11.494,11.5655,11.359,11.146,11.2285
Mid1,9.794,9.0745,9.1455,9.2685,9.439,9.5385,9.888,9.511,9.241,9.205,9.2475,9.1475,9.644,8.810500000000001,9.1535,11.457,9.705,9.339,9.411,9.3575,9.367,9.036999999999999,9.444,9.593,10.3415,9.2365,9.1575,9.899,9.516,10.281500000000001,9.5485,9.5335,9.524999999999999,9.224499999999999,9.256,9.88,9.446,9.645499999999998,9.119,10.2845,9.647,9.2975,9.466000000000001,9.5655,9.1025,9.735,9.16,9.969999999999999,9.6305,8.985
Mif,11.276499999999999,10.6045,10.742,11.098500000000001,11.294,11.2925,11.1385,11.013,10.798,11.098,11.1695,10.807500000000001,10.963999999999999,10.7935,11.0025,10.612,10.674,11.244,11.304,11.336500000000001,11.314499999999999,11.1535,11.408,10.911,11.0495,11.120999999999999,10.8095,11.054,11.1055,10.808,11.278500000000001,11.115,10.9845,11.099,10.901,10.861,11.159500000000001,10.731,11.327,10.978,11.221,11.1955,10.718,11.0785,11.225999999999999,11.097999999999999,11.2085,11.0465,10.803,11.121
Mir341,11.879,12.463000000000001,12.611999999999998,11.8855,10.459,10.907,12.0095,11.987,12.03,11.963,11.9565,12.136500000000002,11.9435,11.994,12.008500000000002,12.631,11.788,11.288,10.63,11.082,11.2575,11.9515,11.19,11.9375,11.8825,10.856,11.3915,11.985,11.626999999999999,12.0215,10.189499999999999,11.9895,11.878499999999999,11.121500000000001,11.895499999999998,11.756,10.8945,12.349,11.662,11.837,11.531,11.754999999999999,12.318999999999999,11.447500000000002,11.7025,12.0705,12.068999999999999,11.784500000000001,12.1795,12.029
Mir344,10.171,10.923,11.173,10.565,8.878,9.2335,10.64,10.253,9.815,10.224,10.6475,10.862,10.0115,10.087499999999999,10.805,11.109,10.129,10.098,8.944,9.748,9.790500000000002,10.758,9.265,9.864999999999998,10.5335,9.369,10.029499999999999,10.268,9.893,10.775,8.812999999999999,10.7135,10.164000000000001,9.561499999999999,9.788,9.992,8.9515,10.374500000000001,9.734,9.9235,9.776,9.856,10.3335,9.786000000000001,10.5265,10.713000000000001,10.828,10.478,10.83,10.2395
Mir665,10.4595,10.7395,11.121,10.3825,8.905,9.3505,10.475999999999999,10.666,10.077,10.074,10.478,10.6325,10.446,10.5095,10.6175,11.102,10.035,10.028,9.03,9.554,9.649000000000001,10.564,9.393,10.350999999999999,10.604,9.3425,9.808,10.376,10.190999999999999,10.494499999999999,8.433,10.554,10.410499999999999,9.5145,10.134,10.089,9.336,10.9205,9.857,10.394,10.3295,10.314,10.8105,10.0515,10.3905,10.5835,10.629999999999999,10.2965,10.7905,10.532
Mkl2,11.389,11.9575,10.7125,11.866,10.839,10.764,10.718,11.844,10.726,10.636,11.7965,10.778,11.865,10.7055,10.769,10.791,11.816500000000001,10.545,11.686,10.594,10.562000000000001,11.876,11.718,10.8215,10.8335,10.799,11.659500000000001,11.939,11.759,10.695,10.744,11.118,10.556000000000001,10.636,11.888,11.819,10.749,11.440999999999999,10.564,10.735,11.7805,11.746500000000001,10.7955,11.863499999999998,10.649000000000001,11.9555,10.6755,11.809999999999999,11.4105,10.772
Mt2,12.8735,12.678,12.4185,13.046,12.956,12.8335,12.934000000000001,12.779,12.866,12.573,12.942499999999999,12.7515,13.042,12.414,12.4385,12.759,12.6235,12.974,12.653,12.7735,12.843,12.6735,13.137,13.033,12.7225,12.614,12.3245,12.654,12.895,12.9055,12.781500000000001,12.9315,13.136500000000002,12.7075,12.8,12.852,12.5275,12.7605,12.55,12.659500000000001,13.0845,13.078,12.649000000000001,12.764,13.168,12.936,13.2975,12.874500000000001,12.544,12.793
Myeov2,10.6665,10.872,10.8205,10.6105,10.864,10.7075,10.759,10.709,10.779,11.277,10.643,10.7725,10.586500000000001,10.8305,10.7075,10.622,10.902999999999999,10.552,10.993,10.582,10.6075,10.849,10.656,10.536000000000001,10.622499999999999,10.8535,11.1035,10.619,10.725999999999999,10.5735,10.8385,10.3555,10.632,10.724,10.786,10.652,10.938500000000001,10.492999999999999,11.436,10.604500000000002,10.474,10.705,10.666,10.515,10.503,10.6345,10.5985,10.701,10.839500000000001,10.876999999999999
Myl6,10.758,10.7515,10.5595,10.706499999999998,10.854,10.6415,10.6985,10.656,10.871,10.681,10.840499999999999,10.818999999999999,11.02,10.342500000000001,10.4885,11.158,11.211500000000001,10.77,10.472,10.4945,10.808499999999999,10.680499999999999,10.458,10.806,10.7895,10.5295,10.7255,10.752,10.428,10.503499999999999,10.8255,10.811,10.8885,10.744499999999999,11.100999999999999,10.844,10.647,10.469,11.167,10.882,10.64,10.807500000000001,10.719000000000001,10.6055,10.747,10.6595,10.7625,10.6805,10.3265,10.666
Myo18b,11.337499999999999,11.784,11.6235,11.455,11.511,11.304,11.519,11.514,11.872,11.467,11.208,11.473500000000001,11.6455,11.247,11.167,11.871,11.7195,11.23,11.029,11.3455,11.475000000000001,11.2675,11.615,11.8795,11.3235,11.268,11.0735,11.442,11.308,11.367999999999999,11.218,11.555,11.5615,11.523,11.7715,11.484,11.285499999999999,11.8855,11.623,11.479,11.418,11.379000000000001,11.7735,11.344000000000001,11.258500000000002,11.707,11.3795,11.443,11.367,11.448
Myo9a,11.0105,10.7325,10.620000000000001,10.751999999999999,10.594,10.904,11.055,11.19,10.346,10.465,10.948,10.878499999999999,10.887,10.562000000000001,10.765,10.627,10.5855,10.8,10.579,10.704,10.8665,10.6905,10.787,11.1055,10.714,10.678,10.5805,11.1,10.864,10.761,10.689,10.939,10.9595,10.5635,10.857500000000002,10.489,10.5365,10.866,10.253,10.872499999999999,10.591999999999999,10.881,10.7695,10.667000000000002,10.8615,10.991,11.005500000000001,11.0495,10.657,10.779
Nop10,10.989,11.1395,11.203,10.814,11.228,11.152,10.727,10.658,10.994,10.957,10.7365,10.601500000000001,11.0015,10.9495,11.167,10.903,10.905000000000001,10.905,11.282,11.0785,11.1135,11.1785,11.135,10.746500000000001,10.749,11.150500000000001,11.3315,11.006,11.099,11.0515,11.187,11.038,10.9575,11.1985,11.027999999999999,10.602,11.3245,10.713999999999999,11.108,11.043500000000002,10.838000000000001,10.8305,10.697,11.0595,10.7545,10.956499999999998,10.817,11.2055,11.128499999999999,10.895499999999998
Nova1,12.037500000000001,12.062999999999999,12.139,12.0045,11.433,11.6325,11.903500000000001,11.964,12.012,11.733,12.014,12.0015,11.9905,11.913499999999999,11.859,12.121,11.7075,11.77,11.327,11.679,11.6275,11.989,11.697,11.9725,12.02,11.5205,11.535499999999999,12.034,11.871,11.9775,11.383,12.041,12.0275,11.5765,11.771,11.992,11.4535,12.0055,11.358,12.0565,11.9395,11.876999999999999,11.898,11.918,12.0445,11.978,12.1135,11.8965,11.883500000000002,11.915
Npy,10.751999999999999,10.654,10.271,10.442,10.679,10.897,10.9605,10.782,10.74,10.066,10.025500000000001,10.545,10.7605,10.21,10.283999999999999,9.884,10.3065,10.861,10.632,10.7965,10.716999999999999,10.6555,11.158,10.73,10.375,10.470500000000001,10.439,10.752,10.712,10.7285,10.629,10.8105,10.842500000000001,10.9025,10.979500000000002,10.553,11.0985,10.639,10.427,10.36,11.100999999999999,10.785499999999999,10.426,10.5195,10.768,10.4375,11.0485,11.123999999999999,10.292,10.488499999999998
Nsa2,11.773,12.1995,12.1985,11.8985,11.819,11.814499999999999,11.8555,11.878,11.798,12.528,11.9635,12.095500000000001,11.9205,12.3185,11.925,11.714,12.15,11.674,12.138,11.6095,11.727,12.166,11.677,11.886,12.1015,12.04,12.343499999999999,11.931,11.915,11.7895,11.843,11.696000000000002,11.6405,11.991,11.8055,11.877,12.3075,11.948,12.788,12.100999999999999,11.808499999999999,11.8065,12.07,12.0075,11.707,11.799499999999998,11.8415,11.738,12.061,11.9485
Nudc,11.0265,11.2225,11.007,10.7685,10.863,10.9245,10.805,11.202,11.061,11.038,10.8695,10.775500000000001,10.7485,11.386500000000002,11.315000000000001,10.78,11.32,10.854,11.067,11.165,11.1075,10.8385,10.872,11.277000000000001,10.788499999999999,10.975000000000001,11.1235,10.765,10.8235,10.8,11.282,10.933,11.08,10.8315,10.9435,11.096,10.957,11.187999999999999,11.405,11.124500000000001,11.1115,11.132,11.2905,10.76,11.138,10.73,11.091999999999999,10.889,11.2375,11.324
Nutf2,11.146,10.720500000000001,10.4875,11.093499999999999,11.261,11.1405,11.07,10.974,11.232,10.607,11.158,10.975999999999999,11.0435,10.725,10.853,10.761,10.712,11.41,10.982,11.3185,11.354,11.036000000000001,11.521,11.081,11.0755,10.989,10.7955,11.181,11.094000000000001,11.1325,11.124500000000001,11.2625,11.264,11.046,10.968,11.171,10.9125,10.882,10.854,11.213000000000001,11.3345,11.146,10.7015,11.1615,11.3295,11.0765,11.209,11.1875,10.674,10.9285
Orai2,10.98,10.8605,10.927,10.8655,10.81,10.782,10.947500000000002,10.422,10.559,10.976,10.691500000000001,10.977,11.068999999999999,10.622,10.613,11.222,11.006,10.992,10.497,10.873999999999999,10.720500000000001,10.8955,10.282,10.9905,10.659500000000001,10.7895,10.464,11.119,10.5835,10.829,10.6805,10.935500000000001,10.437000000000001,10.405000000000001,10.848500000000001,10.763,10.598500000000001,10.83,10.958,10.586500000000001,10.768,10.651499999999999,10.981000000000002,10.8655,10.763,11.244,10.899000000000001,10.715,10.703,10.7305
Oxt,11.602,12.2345,11.437999999999999,11.634,11.895,11.903500000000001,11.701,12.057,12.016,12.113,11.925,10.503,12.029,11.648,11.5975,11.614,11.985,11.761,11.911,12.104,12.0975,11.9,12.182,12.1065,12.142,11.581,11.517,12.27,11.6205,11.8905,12.007,11.844999999999999,11.523,11.081,11.9305,11.984,11.317499999999999,11.812999999999999,11.282,11.714500000000001,11.940999999999999,11.7925,11.576,12.031,11.7045,11.939499999999999,11.572,11.383,11.0115,11.528500000000001
Pabpn1,11.935,12.187,12.3095,11.9455,11.479,11.5745,11.943,11.934,11.996,11.936,11.815,12.065,11.9815,12.1025,12.025,12.215,11.943999999999999,11.82,11.434,11.632000000000001,11.617,11.982500000000002,11.62,11.909,11.947500000000002,11.5185,11.8045,11.992,11.818,11.969,11.379,12.009,11.9315,11.715,11.871,11.85,11.593499999999999,12.132,11.725,11.805499999999999,11.836500000000001,11.855,12.1615,11.786999999999999,11.895499999999998,12.0225,11.9835,11.879,12.013,11.9365
Pbrm1,11.182500000000001,10.855,10.72,11.0845,11.192,11.1085,11.257,11.174,11.321,10.678,11.2615,11.179,11.0625,10.7065,11.0215,11.042,10.732,11.235,10.959,11.188500000000001,11.0805,10.895,11.038,11.1745,11.151,11.001000000000001,10.7045,11.149,11.114,11.3475,11.157499999999999,11.234,11.3035,11.0965,11.093,11.266,10.8265,10.9785,10.022,11.2945,11.249500000000001,11.125,10.867,11.218499999999999,11.259,11.149999999999999,11.221499999999999,11.037500000000001,10.707999999999998,10.972000000000001
Pdxdc1,10.7615,10.972,10.260000000000002,10.184999999999999,10.3,10.219000000000001,10.289,11.035,10.002,10.321,11.148499999999999,10.29,11.033999999999999,10.188500000000001,10.221,10.26,11.0415,10.309,11.127,10.1935,10.2695,11.0235,11.11,10.213000000000001,10.2605,10.247499999999999,11.1305,11.075,11.0195,10.0915,10.2715,10.408000000000001,10.2045,10.2805,11.033,10.952,10.259,10.6845,10.318,10.204,10.9715,11.0955,10.2315,11.046,10.193,11.073,10.241,11.079,10.793,10.29
Pisd-ps1,10.9785,11.241499999999998,11.348,10.8385,10.257,11.588000000000001,10.9205,12.072,11.876,10.631,11.7485,11.231,11.289,11.456,11.043,11.398,10.773499999999999,10.986,10.23,10.855,11.669,11.1125,10.473,10.7405,11.8095,10.077,10.407499999999999,11.076,9.749,11.0625,11.098500000000001,11.1615,11.7815,11.5725,11.4395,10.984,11.528500000000001,11.839,10.953,11.774000000000001,11.322500000000002,11.2485,11.6765,9.779499999999999,10.705,11.5615,11.1205,10.504999999999999,11.237,11.792
Ppp1r2,11.809999999999999,11.7985,11.888,11.475999999999999,11.715,11.631,11.593,11.537,11.304,11.89,11.491,11.511,11.5745,11.834499999999998,11.622,11.639,11.7375,11.64,11.573,11.506499999999999,11.355,11.8125,11.599,11.5745,11.659500000000001,11.709499999999998,11.8845,11.515,11.7365,11.1345,11.654499999999999,11.39,11.6025,11.696,11.507000000000001,11.433,11.7265,11.565999999999999,12.388,11.3355,11.427,11.522,11.573,11.609,11.485,11.779,11.565000000000001,11.7035,11.7415,11.7635
Ptgds,12.5025,11.992,12.1425,12.468499999999999,12.248,12.7425,12.442499999999999,13.071,12.683,11.821,12.2935,12.419,12.6785,12.528500000000001,12.4805,12.699,12.599,12.354,12.718,12.3695,12.8255,12.0025,13.208,12.1935,11.9195,12.259,12.477,12.48,12.654499999999999,12.397,12.6325,12.211,13.008,12.461500000000001,12.6685,12.814,12.568,12.742,12.881,12.442,12.733,12.7625,12.481,12.308,12.649000000000001,12.733,12.722000000000001,12.8105,12.616,12.585
Rdm1,10.8805,10.943999999999999,11.153,10.417,11.5,11.5835,11.039,11.117,10.246,11.39,11.217500000000001,10.975999999999999,10.6845,10.8905,11.065,10.62,10.744499999999999,10.56,11.641,11.504999999999999,11.3615,11.039,11.782,10.876999999999999,10.828,11.4985,11.1985,10.577,11.057,10.792,11.5425,10.439499999999999,10.753499999999999,11.667000000000002,10.823,10.793,11.632,10.799,11.743,10.4905,10.7775,10.986,10.995,10.7455,10.6705,10.647,10.8995,10.9415,11.0395,11.096
Rfk,11.9875,11.074000000000002,10.9375,11.2605,11.35,11.3595,12.400500000000001,11.453,11.296,11.008,12.3605,11.224,11.312,10.9915,11.107,12.355,11.161000000000001,11.403,11.189,12.4235,11.449,11.259,11.506,12.401,11.211,12.310500000000001,12.154,12.445,11.2695,12.393,11.396,12.2485,11.392,11.347999999999999,12.417,12.007,11.2805,11.9265,11.124,11.452,12.441500000000001,11.314,11.1035,11.3095,12.4265,11.301,12.439,11.375,11.867,12.2945
Rmrp,11.989,11.9595,11.9085,11.817,12.037,11.908999999999999,11.7585,11.773,11.775,12.091,11.7995,11.5945,11.57,11.9465,11.908000000000001,11.839,11.8445,11.647,12.062,11.8375,11.852,12.0625,12.022,11.636,11.9285,11.898,11.971,11.845,11.9255,11.7745,12.0535,11.5465,11.7875,11.8675,11.8205,11.743,12.052,11.8975,12.848,11.702000000000002,11.671,11.7355,11.7995,11.620000000000001,11.707,11.8355,11.818999999999999,11.9855,11.9955,12.14
Rnps1,10.837,10.5305,10.566500000000001,10.997,10.913,10.703,10.825,10.603,10.706,10.543,10.823,10.731,10.449,10.4225,10.4525,10.363,10.721499999999999,11.081,10.862,10.772,11.043,10.793,11.148,10.492,10.66,10.8245,10.5095,10.622,10.964500000000001,10.6845,10.655999999999999,10.9985,10.8915,10.561499999999999,10.7345,10.612,10.562,10.7915,10.423,10.953,10.697,10.907,10.846,10.901,10.9875,10.84,10.5225,10.903500000000001,10.6045,10.5185
Rnu2-10,9.874,9.7725,10.428999999999998,9.482,10.876,11.119,10.1005,10.242,9.581,10.536,10.322,9.9605,10.0015,10.3505,10.431999999999999,9.773,10.027000000000001,9.701,11.16,11.1325,10.5845,9.922,11.403,10.3505,9.9,11.1495,10.54,9.625,10.3285,10.067499999999999,10.707,9.680499999999999,9.7445,11.0975,9.953,9.872,11.1145,10.004999999999999,11.102,9.8135,10.2245,10.2135,10.395,10.078,9.9525,9.7575,9.884,10.2555,10.4315,10.447500000000002
Rnu73b,10.591000000000001,10.367,10.5725,10.356,10.711,10.692,10.409,10.374,9.861,10.681,10.3295,10.0505,9.871500000000001,10.5815,10.241,9.863,10.472,10.212,10.689,10.4205,10.327,10.529,10.575,10.193,10.214500000000001,10.329,10.795,10.133,10.4425,10.1205,10.411000000000001,10.208,10.1615,10.636,10.3295,10.054,10.637,10.251999999999999,11.721,9.916,10.6465,10.4085,10.2425,10.4145,10.3875,10.339500000000001,10.588,10.494,10.626999999999999,10.4735
Rny1,11.0485,10.432,11.3225,10.599499999999999,11.5,11.2265,10.705,10.932,10.337,11.226,10.966000000000001,10.7425,10.3995,11.003499999999999,10.889,10.603,10.819500000000001,10.523,11.662,11.149000000000001,10.812999999999999,10.8375,11.23,10.547,10.77,11.0685,10.933,10.488,10.9405,10.496500000000001,11.2035,10.636,10.513,11.339,10.902999999999999,10.28,11.4395,10.7085,11.882,10.564,10.776,10.9125,10.8765,10.724499999999999,10.709,10.836500000000001,10.766,10.84,11.0945,11.2165
Rpl15,12.062000000000001,12.3995,12.274999999999999,12.0815,12.026,11.975999999999999,12.2975,12.064,11.964,12.689,11.993500000000001,12.3405,12.234,12.4865,12.148,12.382,12.4485,12.186,12.228,12.093499999999999,11.802,12.4485,11.88,12.004999999999999,12.0285,12.0815,12.309,12.018,12.003499999999999,12.035499999999999,12.0755,11.873000000000001,11.886,12.032,12.339500000000001,11.996,12.26,12.103000000000002,12.49,11.924,11.893,12.011,12.22,12.0745,11.9115,12.044,11.940000000000001,11.964500000000001,12.2925,12.327
Rpl21,12.8275,12.945,11.3575,11.235,11.409,12.838000000000001,11.4,11.51,10.871,11.142,12.803,12.9925,12.9865,11.387,13.006499999999999,10.972,11.205,11.263,11.77,12.907,11.205,11.0395,12.899,11.554,11.207,11.394,12.808,13.197,11.6145,11.2975,11.318999999999999,12.9555,13.188500000000001,12.6815,11.224,11.673,12.8925,12.783000000000001,11.227,12.741,12.866,11.301,11.6775,11.518,12.9545,11.364,11.2665,12.9285,12.746500000000001,11.356
Rpl23a,10.285,10.5265,10.581,10.39,10.758,10.338999999999999,10.581499999999998,10.251,9.815,10.537,10.406500000000001,10.2415,10.296,10.366,10.4245,10.358,10.392,10.512,10.449,10.467500000000001,10.4175,10.469000000000001,9.771,10.8525,10.4795,10.5565,10.548,10.468,10.155999999999999,10.379999999999999,10.651,10.4725,10.47,10.5115,10.6585,10.208,10.5415,10.4345,10.978,10.2765,10.3415,10.1815,10.28,10.3585,10.3,10.26,10.462499999999999,10.380500000000001,10.440000000000001,10.5725
