data	B6_i	B6_ii	B6_iii	B6_iv	B6_v	D2_i	D2_ii	D2_iii	D2_iv	BXD1_ii	BXD2_i	BXD2_ii	BXD5_i	BXD5_ii	BXD6_i	BXD6_ii	BXD8_i	BXD9_i	BXD9_ii	BXD11_i	BXD11_ii	BXD12_i	BXD12_ii	BXD13_i	BXD14_i	BXD14_ii	BXD15_i	BXD15_ii	BXD16_i	BXD16_ii	BXD18_i	BXD18_ii	BXD19_i	BXD19_ii	BXD20_i	BXD20_ii	BXD22_i	BXD22_ii	BXD27_i	BXD27_ii	BXD28_i	BXD28_ii	BXD29_i	BXD29_ii	BXD32_i	BXD32_ii	BXD34_i	BXD34_ii	BXD39_i	BXD39_ii	BXD40_i	BXD40_ii	BXD42_i	BXD42_ii	BXD43_i	BXD43_ii	BXD44_i	BXD44_ii	BXD48_i	BXD48_ii	BXD50_i	BXD50_ii	BXD51_i	BXD51_ii	BXD55_i	BXD55_ii	BXD60_i	BXD60_ii	BXD64_i	BXD64_ii	BXD68_i	BXD68_ii	BXD69_i	BXD69_ii	BXD73_i	BXD73_ii	BXD75_i	BXD75_ii	BXD79_i	BXD79_ii	BXD83_i	BXD83_ii	BXD86_i	BXD86_ii	BXD89_i	BXD70_i
Tnf	2.31723844	2.18485237	2.11634957	1.78192351	2.72926884	1.06260152	0.58419863	1.58274592	2.79821818	2.97883051	0.52768014	0.53978784	0.40957595	0.99251843	-0.07728651	0.05235407	1.47945825	0.99857272	1.12193202	0.41374562	1.00598623	2.78773582	2.84338396	1.94449352	1.80613064	1.79964793	1.22412603	0.70164096	1.34619738	3.600514147	0.43905203	1.398581605	3.507253471	3.995381635	2.0193613	0.97437678	0.35733489	2.3882229	0.42001725	0.75310911	0.45706827	1.47560699	0.02897563	-0.04626145	0.78213757	0.69947432	1.115673859	-0.043699291	1.464296029	0.657926709	1.970012359	1.318186069	2.315691959	1.430477919	2.099968659	0.808479289	1.11777997	0.332029585	2.586241959	1.400403869	2.106940519	1.777013869	0.370389909	0.421570719	0.517074169	0.439466609	1.374118669	0.418138509	1.369780349	0.636822139	1.715049729	1.176638209	0.251908149	0.215812016	2.049073579	2.494299149	0.661913115	2.251926979	1.439795959	1.929727859	1.363000779	2.496724839	-0.062794611	0.694553419	1.306905269	1.638476449
Tlr2	1.5521975	1.39815048	1.48817247	0.97377299	1.86229526	0.7565289	0.77535505	0.73425674	1.14076928	1.63113348	0.69448961	0.96247469	-0.25856913	0.96190336	1.17936183	1.28733573	0.49761428	0.77016812	1.26084461	0.44060257	1.01043315	1.05578213	1.5689917	0.89149018	1.16127657	1.25999417	0.6337429	0.85523639	0.89288299	1.96796556	0.56208395	0.81250414	0.86850022	2.03475987	1.20960829	0.76335174	0.29501348	1.01747855	0.46311549	0.69269469	0.26869876	0.72957017	0.52962978	0.53401164	0.66093981	0.65322094	0.446487762	0.561593912	0.910589612	0.767452782	1.223175942	0.702418152	1.257491552	1.228395742	1.232686808	1.051411578	0.728124848	0.468084368	1.255176678	0.922471158	0.669682288	0.772197628	0.508331648	0.887902308	0.679125878	0.784911198	1.132269548	0.796839888	0.895439858	0.783642878	1.140581558	1.166878318	0.365491618	0.470086188	0.633888408	1.012676868	1.004600768	1.564928708	0.603281528	1.141482968	1.099002348	1.355337118	0.370448768	0.447379198	0.543268768	1.040560818
Sgk1	0.55473685	0.26031144	-0.13580843	0.40672131	1.22669006	0.43735328	-0.13204917	0.19809019	0.27942129	1.07388941	0.02010424	0.32615639	-0.629376669	0.484861651	1.45396303	0.56851197	-0.03319358	0.13653667	0.25017155	0.316890198	0.939482023	-0.35986781	0.34572027	0.1975044	0.31598426	0.39584026	-0.10729304	0.00164157	0.19660154	0.16567053	-0.00940307	-0.08706965	-0.79031697	0.45424293	0.01090916	-0.24610314	-0.08713054	0.22869277	-0.10626224	0.223211308	-0.27091308	0.806433734	-0.716341304	0.01145865	-0.09657801	-0.02292079	-0.321548422	0.061756638	0.176146938	-0.082445482	0.262941168	0.112909178	0.342196078	0.607865888	0.166167242	0.154441562	-0.315103958	-0.203019598	0.413941462	0.667529882	0.174757522	0.194499442	-0.092616168	0.021088072	0.020828992	0.184107122	-0.357804098	-0.120613658	-0.183109808	0.019320612	0.140278002	0.476678422	-0.132606728	-0.185322348	0.161181782	0.596983072	-0.064015708	0.530232222	-0.547417638	0.150572802	0.144045172	1.224656122	0.031361182	-0.053098508	0.298892942	0.568553902
Ripk3	-0.007962964	0.192621662	-0.168733624	0.311191004	0.131687546	0.078453743	0.003422501	-0.088193865	-0.250153527	-0.109856778	-0.232323975	0.060976901	0.139655153	0.248123298	0.142416312	0.278497985	0.018051322	0.008082946	0.226679766	0.426833329	0.201040914	0.046312233	-0.245298289	0.071066434	0.03942912	0.303695768	0.154283496	-0.091501018	0.038402539	0.314649771	-0.143579112	0.273404962	-0.117717654	-0.425056977	0.129009895	0.034972383	0.11560336	0.156468761	-6.16E-06	0.169333727	-0.272841155	0.010272157	-0.11220738	0.20375489	-0.161366328	0.014746541	0.063375299	0.38583638	-0.001976679	-0.046134229	0.243898955	-0.31011964	-0.018002542	0.050548391	-0.009763875	-0.157284289	0.156751239	0.232658427	0.344237488	0.154124315	-0.158439835	0.023441635	0.091215758	-0.103996732	-0.339344969	0.095408551	0.2936823	0.192420554	-0.013775264	-0.04426368	0.335649623	0.021592284	-0.260164886	-0.435713087	0.069953708	0.080918987	0.092313834	-0.00358759	0.397036702	0.142052527	0.092478463	0.241252525	-0.181539268	-0.056369731	0.205475085	0.432264745
St3gal3	0.573940594	0.630452138	0.906129319	0.480724995	0.243698597	0.481586768	0.74583664	0.730804509	0.990977357	0.661163234	0.260237845	-0.136320506	0.366163683	0.29779236	0.033092457	0.097174776	0.714889469	0.330261604	0.270089338	0.575858295	0.42290974	1.322081894	0.649079696	0.755110689	0.984443261	0.904035819	0.501179318	0.380578558	0.402472668	0.683528368	0.060369907	0.566248104	0.777624851	0.577582905	0.812169045	0.690952664	0.788605895	0.456226464	0.527782292	0.147814391	0.637257623	0.589141485	0.520704214	0.523733718	0.248047248	0.688425364	0.692102836	0.679575453	0.570801737	0.19607996	0.517219715	0.20435287	0.570790134	0.607002235	0.576130748	0.158578767	0.587619078	0.599389735	0.482038511	0.640504914	1.30456404	1.165055464	0.39996608	0.278358279	0.334088036	0.079082452	0.267027488	0.262917286	0.470913655	0.763024337	0.665118162	0.550706131	0.37021858	0.08759845	0.709480097	0.761416657	0.392399845	0.327232086	1.161138176	0.6235853	0.700631206	0.925856725	0.337696993	0.329919922	0.207753432	0.05620469
Rusc2	-0.019896845	0.527549878	0.359983296	0.474811481	0.308378435	0.753702794	-0.16020839	-0.170918773	0.385855719	0.31555829	-0.142230644	-0.058060769	-0.056797893	-0.061929358	0.449417502	0.24875761	-0.209873901	-0.356314491	-0.263198993	-0.301693499	-0.344082285	0.423229234	0.490163715	-0.151551142	0.106333032	0.272538854	-0.082051005	0.093701508	-0.035377075	0.407460894	-0.115411542	0.042676517	0.153422089	0.426203205	-0.26944472	0.319753954	-0.11952505	0.070337804	-0.214602833	0.343442853	-0.301992087	0.131493157	0.078603647	-0.144293526	-0.303870028	0.024172811	0.281496001	0.011947941	-0.20694702	-0.357916747	0.085008049	0.112932361	0.364768139	-0.074250165	0.202735334	0.004895946	0.198839736	0.021326795	0.091572165	0.267595082	0.993306451	0.333625763	-0.647377726	-0.012191484	-0.116668634	-0.040816782	0.048444342	0.032151876	0.050614155	0.730031145	-0.182151482	-0.034524711	-0.075037647	-0.153892518	0.010339397	-0.002929642	-0.139017891	-0.119218345	-0.240120656	0.024031293	-0.264762689	0.453168224	-0.334101493	-0.348218252	-0.101137497	-0.008805267
Slamf7	1.63263069	1.765577	1.9835299	1.22418697	1.60229416	1.23300352	0.553953204	1.24142533	0.80753205	2.03537071	0.639609185	-0.15717347	0.04985342	0.40000536	0.31728378	0.1618946	1.04774466	1.06641812	0.83706094	0.32900852	0.42585566	1.8594803	1.90881725	1.34434932	1.4974361	1.62512397	0.92092172	1.39608662	1.52424192	2.08128212	0.67402974	1.2753717	2.20302369	3.00509549	1.32814562	0.85762337	0.399214519	1.254157465	0.18557509	0.26843985	0.74532559	0.18032833	0.42744375	0.53473199	1.04249775	1.00173659	0.587039619	1.343948329	0.417116165	0.318112596	1.013328419	1.234259299	1.567476859	1.460381609	1.146257152	1.225282198	0.302425508	0.488308077	0.570069954	2.088315799	1.695682311	1.548702554	0.771726534	1.052469874	1.120259874	1.295519134	1.139917004	0.96451141	0.866092094	1.119318944	1.065936434	1.488366304	0.851047203	0.327387328	0.730189324	1.064968994	0.491992871	0.610250694	1.338575734	1.253464734	0.868938214	0.985190454	0.625467903	0.62543688	0.961016004	0.829779344
Ltb	0.970299392	1.259773374	1.537537701	0.873893314	0.717974514	0.470042714	1.432106901	1.071753775	0.735447944	1.315590178	-0.252372523	0.526719031	0.36316119	0.77996152	0.574844008	1.054184001	0.224990424	0.32209971	1.11531151	0.43255824	0.9940574	1.33365339	1.50608114	-0.166102103	0.785775247	0.695339347	0.55327889	0.327632276	-0.0417626	1.516679265	0.041027766	1.355104184	0.415492098	0.171390367	1.035942323	0.45876279	0.224060152	1.426114155	0.1554613	0.92722722	-0.086971845	1.335137297	0.637960364	0.349972211	0.063066833	0.36006644	0.175488025	-0.212063635	0.611525819	1.285419679	0.799346642	0.777160527	0.494933845	0.815992285	0.566660532	0.652815412	0.890191398	1.006521266	0.497838927	0.727310872	0.949210258	0.884961468	0.292724516	0.873439497	-0.91387309	-0.039237452	0.901386582	1.139362837	0.35275529	0.684882182	1.145932498	1.252738648	1.113276591	-0.450621248	0.748124262	0.717943353	0.793532473	0.618135785	1.395131528	0.583345428	0.960284548	0.068358078	0.206036291	-0.076817327	-0.240928965	0.399573602
Ptges	1.197625619	1.160899884	1.538995028	0.459205547	1.695866064	1.376738996	0.424325982	0.924733466	1.547249862	1.388663162	0.547429235	0.363065048	0.57261456	0.76119288	0.817313454	0.948908472	0.366645591	0.749873904	0.539147531	0.771649888	0.681407474	1.199968374	1.170865876	0.846529304	1.025624873	1.55081336	0.84049535	0.515829129	0.603977723	1.651589742	-0.067402078	0.573870156	0.472296088	0.629252153	0.745054849	-0.121493425	0.738190933	1.551261755	0.416828347	0.29281678	0.561160011	0.975852108	0.271634297	0.586367491	0.244102463	0.447244212	-0.206157028	-0.012315614	0.923465256	0.971933043	1.635209718	0.181776525	1.484304451	0.673275126	1.310646438	0.470512167	0.559360323	0.149053942	1.449930807	0.169171538	1.138080911	1.101220983	0.188417088	0.302729036	0.147165741	0.541815589	0.795433307	0.210774035	1.064218304	0.672756753	0.636934918	0.837229683	0.37323249	-0.392016371	0.98283963	1.981314472	0.57350609	1.053202475	0.691998518	0.548884838	0.929731369	1.186163056	0.193612993	0.0553635	0.607901964	1.002007113
Chi3l3	-0.40970746	0.52888613	0.34857351	-0.1785374	0.28611512	-0.22626834	0.00438104	-0.60484377	-0.34060879	-0.55552897	-0.02976131	0.12468915	-0.26464824	0.14955089	1.53077099	1.02608143	-0.76834181	-0.99012436	0.30088215	-0.77119385	-0.28042023	0.05399385	-0.43045994	-0.72257094	-0.05646218	0.54365435	-0.42974948	-0.14964188	-0.74665024	-0.59991461	-0.35759835	-0.59152788	-1.7942422	-0.91477765	0.12711972	-0.28828157	-0.41504113	-0.7977566	-0.77006204	0.26561299	-0.94598938	0.3461129	0.33406983	0.05459746	-0.22726079	-0.39069178	-0.240855696	-0.952535406	-0.729834166	-0.059469676	-0.559649156	0.142149114	0.058655914	0.408779664	-0.308296078	-0.179732368	-0.056741078	0.206411062	-0.760056288	-0.193940148	1.054728182	0.142867192	-0.712325078	-0.105356178	-0.405261768	-0.666284858	0.124234852	0.318931362	-0.640503238	0.837344982	-0.383319538	-0.147038708	0.190874542	0.027893912	0.014717602	-0.699489288	-0.089718808	-0.762877088	-0.191224168	-0.742196348	-0.062406248	0.184317102	-0.183428418	-0.599767218	-0.987074548	-1.201480898
Rbl1	0.60860918	0.7542266	0.52047274	0.98709253	0.60380989	0.94032519	0.36528467	0.70421858	0.59778377	0.53257682	0.22519199	-0.04331641	0.06530042	-0.096969	1.04768107	0.74530388	0.67566958	0.46220863	0.49791416	0.29615107	0.10727349	0.87872899	0.52183216	0.84837992	0.38524329	0.73227404	0.0468286	0.36746547	0.883726	0.72288644	0.51685452	0.52852765	0.39190177	0.51468646	0.53436847	0.6603775	0.58854606	0.16957419	0.46475527	-0.05796052	0.28220467	-0.11601356	0.23707615	0.25567387	0.52371733	0.63127513	0.392477814	0.329731354	0.166349564	0.087567144	0.542218804	0.333215844	0.881855854	0.730814184	0.366046309	0.235127199	0.163364459	0.120008609	0.468525169	0.262643869	0.657306579	0.512293009	-0.133392161	0.006657849	0.731091499	0.450290719	0.522613869	0.252996359	0.402676189	0.490450379	0.124818189	0.409827889	-0.076893751	0.235957759	0.416210549	0.758902129	0.110502009	0.852608159	0.444984639	0.860316959	0.381983329	1.098094559	0.311520339	0.251657379	1.29215048	0.411650319
Snapc3	0.799975985	1.04095087	1.411752181	1.083560609	0.280146258	0.341003911	0.663696539	0.740161688	0.62813156	0.461789854	0.448168335	0.331208721	0.699802381	0.511716577	-0.093369863	-0.111075538	0.772397812	0.288442031	0.541218883	0.263605082	0.013185524	1.257761359	0.597353683	0.715743973	0.892642768	0.991027845	0.783987956	0.678055839	0.383175632	0.543197301	0.733496229	0.928965766	1.100196867	0.766392724	0.813476237	1.076152334	0.754056193	0.700186415	0.40471866	0.610200954	0.791498399	0.412637569	1.167962581	1.021793018	0.862733454	0.932389889	0.630518301	0.802581174	0.580863164	0.526255213	0.655913439	0.586743088	0.830828638	0.561309689	0.709988695	0.711859432	0.625820513	0.613931129	0.600925283	0.804350427	1.196471503	0.985417397	0.406228337	0.707417736	0.223518302	0.609449093	0.592818422	0.75333515	0.637997752	1.402744878	0.506048387	0.644119576	0.449922576	0.439394969	0.509255365	0.632333943	0.386591045	0.619491068	1.135011244	0.640149369	0.412803346	0.289809463	0.458235916	0.926218628	0.827065456	0.601966971
7530420F21Rik	-1.444918433	0.632080462	1.434389985	2.977053852	1.992375175	-1.365764782	2.004199606	1.358386643	2.126937421	1.164582391	0.11627207	2.306775918	0.257572851	-0.23880712	0.008844911	1.413528001	-0.169407309	-0.43653922	2.220971572	-0.7909448	0.660033824	2.85316561	1.562056633	-3.369257634	1.380621733	1.395395602	2.085461463	0.166943965	-2.439091	0.343562463	-2.043356605	0.76300929	2.618242228	1.587126678	2.008089255	0.263170426	-2.369823468	-0.00092088	1.430928544	1.029782374	-0.071108204	0.550322235	2.214788436	0.356803415	-0.226217472	0.415284472	0.797175872	-3.282889295	2.148264487	3.204528918	-3.140473155	1.828843922	0.796986951	1.554498661	-0.175978892	0.863266321	0.802613554	1.031989635	-1.080329652	0.51769212	0.585751883	2.053006012	-0.182604064	0.408356744	-2.197026033	-0.899507106	-0.498972198	3.216181192	0.200668936	-0.258474465	2.835853897	0.651123732	0.980675662	0.11681121	1.490959983	-0.107997028	0.036325698	0.36471276	1.2815272	0.961795822	1.72153383	2.176712255	0.784832795	1.589149629	0.437824594	-1.561981973
Lss	-0.36697994	0.264287521	0.2912833	-0.220336937	0.80040678	-0.019661914	0.48907166	-0.43893917	0.20511841	0.299379169	-0.119477567	0.470183271	0.072588119	0.642251807	0.762525804	1.247602532	-0.3941136	0.03521267	0.552745135	-0.347899987	0.432623328	-0.09430534	0.0267249	-0.191679864	0.259390988	0.353157315	0.26039509	0.1879345	0.142019174	0.283856217	0.123001782	-0.039953862	-0.700483433	0.312210648	-0.043322212	-0.070583105	-0.224018	-0.01359109	-0.132774838	0.318760047	-0.461898161	-0.082136699	-0.09519365	-0.052749796	-0.3741935	-0.095172593	-0.020094702	0.139979791	-0.27810629	-0.10378153	0.347002097	0.11257061	0.098127671	0.583764398	0.043905871	0.111129811	0.449406091	0.392878641	-0.093126023	-0.040781799	0.265850507	-0.397535477	0.724476876	0.390978784	0.09903951	-0.319871907	0.845904232	0.55211234	0.717201025	0.59349244	0.261111721	0.107555982	0.399081146	0.060177452	-0.098382711	-0.526508295	0.112042571	-0.000602676	0.11287383	0.059746015	0.042156782	-0.496403354	-0.536413465	-0.355109193	0.524602703	-0.249887625
Socs6	0.45545559	0.76300643	0.54891269	0.4225313	0.56190013	0.58715572	0.59008028	0.10048903	0.03974209	0.21177886	0.36350462	0.23894407	0.27274684	0.69365973	0.22992181	0.30914903	0.27407644	0.75112875	0.3639195	0.50911938	0.48943325	0.65766841	0.6887186	0.47436853	0.54202353	-0.0016039	0.4961937	0.51685582	0.37070246	0.50174139	0.32906126	0.39664672	0.75270559	0.63919189	0.32907785	0.81912982	0.69874658	0.52936274	0.75735543	0.32059283	0.76074814	0.06586249	0.53938238	0.40523305	0.56238736	0.54421299	0.76777617	1.03774393	0.43361286	0.13143292	0.80803865	0.40543176	0.04939817	0.20252341	0.705210183	0.470321013	0.863724423	0.523445553	0.816308943	0.528830773	0.453510703	0.444814453	0.626882393	0.430183033	0.775359443	0.570024983	0.528524103	0.590713793	0.988611003	0.690008753	0.648913083	0.575115133	0.335795223	-0.005737337	0.035314233	0.278578133	0.321857363	0.166356743	0.489307943	0.532470583	0.347869443	0.247522283	0.777270523	0.621260063	0.381876023	0.683249823
Emr4	0.80649192	0.7809284	1.52090269	0.69673846	1.95661598	0.1879652	0.3974958	0.39452729	0.61996472	1.01638317	0.10615402	0.510945854	-0.07310197	0.90154477	1.84636289	1.89325372	0.06346023	0.06645731	1.35211606	0.13104221	1.04755338	0.2228704	0.1434348	0.24452538	0.60319533	1.01837194	0.36776988	0.59137399	0.38263829	0.97081509	0.13920522	0.49353448	-0.24833276	0.3357186	0.63373286	0.96356549	0.35519318	0.74177415	0.12812353	1.37505853	-0.20630282	1.03432656	0.42226294	0.52788535	0.04508455	0.17059937	-0.188478222	0.246212308	0.810987198	0.949694248	0.844738408	0.575143838	0.367526208	0.778497088	0.378275454	0.938990124	0.471762994	0.592070924	0.717472074	0.427869664	0.306163134	0.554249384	-0.313640806	0.568993084	0.158193174	0.573607304	0.420357624	0.579655594	0.085401564	0.630141224	1.068577554	1.581797244	-0.133999526	-0.142526076	0.297321564	0.793539344	1.128117774	1.476573224	0.348599844	0.834022644	0.585065384	0.823989384	0.611639494	0.367774134	0.235964944	0.549783424
Ctse	-1.02751003	0.828477675	0.511011267	-0.177274294	0.368751054	0.35341278	1.17446724	0.72809543	0.70159839	-0.250455109	-0.156746424	-0.182159696	0.02040576	0.26717366	4.882703877	5.753378007	-1.262516714	-0.22081053	-0.353937264	0.08920004	0.01834424	-0.05125673	-0.285940273	0.01043314	-0.599615012	0.901748268	0.56238564	0.52512529	-2.143635116	0.616580958	-1.564188768	0.985401712	-4.18109887	-5.211923613	0.340408956	0.49030388	-0.649931387	0.562508459	0.11026653	0.11477612	0.28029257	0.71218032	0.97510052	0.74455942	0.77017127	0.45507153	0.47245827	0.73979652	0.5696661	1.07306793	-0.747306361	-0.18982435	-0.745591713	-0.252700659	0.158080893	-0.248260909	0.84067576	0.80286068	0.03939566	-0.09963582	1.26109586	0.74678955	0.024157374	0.81462747	-1.262062202	-0.957590515	-0.131897355	-0.334281804	0.409314417	1.471798945	-0.097527824	-0.376085469	-0.587709243	-0.614465104	-0.43888138	0.43464938	0.278462994	-0.163723931	1.00115906	0.32738185	0.39817412	0.51030934	-0.428595214	-0.575156988	0.634974436	-0.22435021
Nfkb1	0.8375803	0.85466587	0.98248919	0.60896021	0.81628946	0.46178238	0.60945136	0.63848465	0.78202113	1.08953513	0.37205934	0.319948	-0.0076394	0.15153254	0.26818284	0.53215783	0.39267709	0.40505174	0.50379842	0.30619217	0.62816133	1.12551794	1.19639375	0.68841947	0.94169	1.01862127	0.49033703	0.63332114	0.73667954	1.11905559	0.26802194	0.36541541	1.06355679	1.26738467	0.86589097	0.7250108	0.37740044	0.71380359	0.22407802	0.25747233	0.3079308	0.73235777	0.33064164	0.44795639	0.44457609	0.67254424	0.354144593	0.534062633	0.744206703	0.666261143	0.620706733	0.384587823	0.692836693	0.746896693	0.83187387	0.63441371	0.55500057	0.45168395	0.58066051	0.7738939	0.85703097	0.67055689	0.39159081	0.56200669	0.43780482	0.45477381	0.72327799	0.60791756	0.54992074	0.63931078	0.73204076	0.81960981	0.39178136	0.27715721	0.55862973	0.50645166	0.58789058	0.77257696	0.73869039	0.66797932	0.66256061	0.7835948	0.29715759	0.28670677	0.37326892	0.28783438
Ccl7	1.600425766	2.176400978	1.466644184	2.267350338	2.600121071	1.425648597	0.186576348	0.492782583	1.892161275	2.833937079	-0.131655443	0.857874967	-0.477373575	-0.871075336	-1.488933019	-0.698117355	1.178515994	-0.040037673	0.631904673	0.09169825	0.901041923	2.449355365	2.147019134	0.570306512	2.066840217	2.215187628	0.915799703	0.380899549	-0.287497821	1.547434796	0.063558599	0.810315005	4.483478065	4.308410649	1.933184447	-0.406680972	0.791168409	0.352716075	-0.006476769	0.470354966	0.151284217	1.228394141	-0.08386988	0.778564615	0.58113745	-0.005207459	0.625449917	-1.239231247	0.813081285	0.653113149	1.097051066	0.17099737	2.785418221	1.767996488	2.213242504	0.695257043	0.426858631	-0.067791826	1.690515319	1.274387493	1.296844711	0.923294778	0.338121826	0.032601821	-0.051180516	0.375071725	1.803612368	1.041800909	1.10596647	0.622063439	0.695430451	0.124817849	-0.597439495	-0.352053117	0.949195108	1.921165509	0.561683649	1.350322922	0.320809776	0.3517885	1.107080485	2.368777044	-0.494060589	1.409314916	1.062069671	0.475044629
Notch2	0.59768919	0.88501763	0.65171654	0.22525371	0.54269503	0.54268802	0.45600321	0.42990836	0.48634057	0.51299737	0.30881141	-0.05452115	0.13815468	0.18797877	0.38633804	0.30250561	0.19532249	0.28789927	0.25907382	0.23527574	0.45879548	0.57449381	0.49097354	0.19402721	0.39955276	0.57487571	0.33734757	0.41962835	0.19232286	0.66437464	0.2486103	0.46157057	0.54493542	0.78932432	0.39977627	0.82231444	0.38386775	0.60963065	0.24319925	0.1852755	0.28649066	0.20934427	0.25865994	0.18569656	0.52240632	0.01435021	0.145941348	0.889989748	0.188342728	0.288135988	0.557640628	0.314522398	0.258350818	0.237577118	0.725010222	0.373493492	0.585521782	0.331591852	0.588155552	0.228503382	0.572323012	0.447055392	0.165149282	0.202540202	0.329160432	0.456884022	0.515654112	0.250589512	0.529508732	0.440961412	0.482881262	0.565294942	0.368666362	-0.205385288	0.242925332	0.660313772	0.342482212	0.486934942	0.414033302	0.345042352	0.333000312	0.243937152	0.438402912	0.065457132	0.007342272	0.251455362
Etv3	0.93231863	0.50595058	0.72271084	0.61944967	1.09184552	0.53037263	0.21680568	0.59608524	0.63824804	1.41475988	-0.03954877	0.14936274	-0.21439172	-0.07158464	-0.62304573	-0.03013441	0.82611542	0.93019854	0.53870247	0.54205881	1.12463137	1.20388094	1.4632906	0.86112786	1.03882037	0.56591728	0.22944518	0.5915585	0.68196102	1.5109542	0.11741871	0.61374022	1.81543409	2.11164919	0.69906614	0.81202708	0.15808155	0.51404756	0.32643529	0.0256355	0.37848188	0.62233348	-0.62311259	0.03181796	0.48403876	0.45477735	0.389025608	0.894152308	0.559850848	0.172911598	0.448361828	0.468136238	0.603876878	0.979302608	0.600791949	0.353141269	0.149638709	0.416755669	0.796756879	1.258185099	0.619354419	0.758750799	0.630524923	0.170760729	0.372021169	0.311406639	0.519148809	0.686391569	0.464930439	0.193487799	0.812340299	0.970778119	0.643029929	0.142403459	0.484463339	0.323555609	0.549186849	0.587419169	0.929150519	0.941228669	1.120361629	1.204716459	0.299194629	0.507869009	0.142752649	0.192530569
Il18	1.42740541	1.662613229	1.068188498	1.266338157	1.242512582	1.352934409	0.486395	0.714926129	0.36009648	0.914303011	0.45681477	0.2160722	0.150657648	0.19290912	1.3676614	0.55118901	0.65902091	0.44973032	0.71125369	0.569202617	0.569634097	0.30985591	0.20883652	1.131602348	0.87805997	1.415251915	0.354147541	0.55360248	0.1943134	-0.13150667	0.30917546	-0.28603889	0.14496004	-0.12926537	1.099089676	0.498823081	0.920313561	0.628915893	0.608316955	0.364766622	1.042606404	1.160755424	0.334972241	0.670014292	0.2808045	0.64872971	0.538420104	0.805838077	-0.003579709	0.202729651	0.276320771	0.429344811	0.937567703	0.984824663	0.155867635	0.138816685	-0.129247215	-0.022885405	0.782979991	0.922768434	1.465617485	1.047833363	-0.289057095	-0.005834725	0.4910341	0.112067495	0.014976675	-0.076938655	-0.040026845	0.833203944	1.280542789	1.167347875	0.054380785	0.101872175	1.249171785	1.445938282	0.032555965	0.385342175	-0.132821285	0.305260645	1.022956868	1.914252036	1.049102455	0.652667798	0.638951685	0.875569871
Ifit2	7.723049979	8.273053572	8.319984682	6.896069293	9.071395043	6.493149081	6.350355852	6.582950161	7.64109885	8.541085572	6.482997782	5.57601547	2.602671794	4.719372705	5.422313415	6.408520439	6.408074335	6.298583049	6.653840274	5.218307514	6.548946158	7.88220696	7.737912729	6.541041561	7.6353447	7.949597948	5.659886318	7.250217708	7.99592916	9.96124484	6.453417081	6.355892775	9.426587674	9.776056028	8.005853322	7.237175217	5.648038264	6.9031492	4.910615774	5.302445483	5.867284901	6.354906633	5.353526145	6.357292123	6.965599346	7.543154015	6.246405255	7.208026479	7.014313181	7.013784456	6.887489002	5.51210813	7.018696162	6.950207545	6.844916563	7.447390232	5.162509849	5.978036605	6.963016703	6.824198022	6.514253638	5.76983248	5.646582215	6.473075673	8.221437196	6.818223279	8.70942774	8.100655748	7.619637377	7.016259679	7.233077527	7.287339952	7.381107666	5.992979693	4.772556634	5.739304931	5.768412097	6.782112293	6.784361051	6.438956028	5.620575066	6.895540627	6.084132886	6.628596689	7.167981503	6.146631508
Hdac5	-0.24283758	0.13587681	-0.18988485	-0.237139012	-0.736405578	-0.16845456	0.73964844	0.23267435	-0.13599746	-0.642694902	0.29357319	-0.10415719	0.29996462	-0.00972005	0.27919153	-0.00371377	0.01556676	0.37332414	-0.03346228	0.43836475	0.19688338	-0.863353455	-0.843271655	-0.2194256	-0.099186021	-0.230822926	0.32616268	0.26757529	-0.12332791	-0.46149475	0.27549866	0.37915565	-0.359183685	-0.798390916	-0.114863083	0.0799486	0.68377062	0.32088823	0.4858436	-0.023941201	0.37439759	-0.2553319	0.3058119	0.06634569	0.45887542	0.30894697	0.318535083	0.350830133	0.130822103	0.259681783	0.262491473	-0.179888757	-0.266761817	-0.626359407	0.206110253	-0.180201997	0.658879393	0.148573333	0.072182153	-0.298824157	-0.219408347	-0.289933367	0.708206007	0.300761593	0.385589413	0.248815393	0.078522329	-0.146971757	0.410870543	-0.193137947	-0.042242486	-0.136322727	0.401165803	-0.416750727	-0.068238487	0.098931183	0.311667853	-0.252210378	0.282997113	-0.123766787	0.051232733	-0.756707061	0.426547653	0.118157753	0.128803353	0.218609371
