data	B6_i	B6_ii	B6_iii	B6_iv	B6_v	D2_i	D2_ii	D2_iii	D2_iv	BXD1_i	BXD1_ii	BXD2_i	BXD2_ii	BXD5_i	BXD5_ii	BXD8_i	BXD6_i	BXD6_ii	BXD9_i	BXD9_ii	BXD11_i	BXD11_ii	BXD12_ii	BXD13_i	BXD13_ii	BXD14_i	BXD14_ii	BXD15_i	BXD15_ii	BXD16_i	BXD16_ii	BXD18_i	BXD18_ii	BXD19_i	BXD19_ii	BXD20_i	BXD20_ii	BXD22_i	BXD22_ii	BXD27_i	BXD27_ii	BXD28_i	BXD28_ii	BXD29_i	BXD29_ii	BXD32_i	BXD32_ii	BXD34_i	BXD34_ii	BXD39_i	BXD39_ii	BXD40_i	BXD40_ii	BXD42_i	BXD42_ii	BXD43_i	BXD43_ii	BXD44_i	BXD44_ii	BXD48_i	BXD48_ii	BXD50_i	BXD50_ii	BXD51_i	BXD51_ii	BXD55_i	BXD55_ii	BXD60_i	BXD60_ii	BXD64_i	BXD64_ii	BXD68_i	BXD68_ii	BXD69_i	BXD69_ii	BXD73_i	BXD73_ii	BXD75_i	BXD75_ii	BXD79_i	BXD79_ii	BXD83_i	BXD83_ii	BXD86_i	BXD86_ii	BXD89_i	BXD70_i
Spsb4	0.777115171	0.748493491	1.077776118	0.802296225	1.256972819	0.132792329	1.00699395	0.114588778	0.498640641	0.726969821	1.123353425	0.117186128	0.518882122	-0.717293409	0.522245195	0.433770336	1.166926995	1.126701381	0.484756168	1.085400706	0.415903736	0.45499225	0.549224708	0.403894335	1.198432112	0.663426254	0.734639728	0.744671651	0.969888509	1.151089452	1.236351312	0.427421757	0.521638252	0.10707077	1.154437643	0.713056132	0.289828068	-0.12332123	0.543077979	-0.043791143	0.803281807	0.343854922	0.810941867	0.583943582	0.698381232	-0.084071995	0.08501802	0.318555395	0.114964477	0.654435298	0.749041222	0.202575073	0.991200092	0.539440522	1.067354964	0.277084813	0.423311602	0.728307066	0.98139799	0.49382369	0.800779842	1.798329811	0.378248837	0.557388991	0.880428632	0.507233964	0.256596714	0.279254204	1.052045652	0.238230482	0.901783043	0.546506919	0.981702203	0.868868353	0.628088482	0.448845739	0.044765888	0.920846475	0.703392619	0.934355425	0.769353216	0.734501093	0.946884993	0.047612628	-0.094907328	0.284608241	0.366292287
Mgl1	-3.470463067	-3.696365307	-2.928279725	-2.510459155	-3.928864016	-3.986437558	-0.768977404	-2.891290912	-4.442902026	-3.439005857	-3.075404127	-3.360422175	-3.964004997	-2.828801719	-1.935950353	-3.021088096	-5.794303437	-4.839313718	-2.992211786	-2.977419979	-3.967709616	-3.480463634	-4.219565042	-3.368350067	-4.648908733	-3.493306914	-3.614476728	-1.959719552	-2.797284783	-4.575568794	-4.357127845	-2.081935087	-3.158123402	-1.878403612	-3.189675876	-2.811486693	-3.140907555	-2.507654092	-3.748863446	-2.870587094	-3.014907579	-4.371125133	-4.601827399	-2.517122398	-2.922624023	-3.760357163	-3.518485171	-2.667881667	-4.420669498	-3.475281535	-3.663223127	-2.853956285	-2.791903804	-3.590946566	-3.495301387	-3.326148728	-3.832782211	-3.113157765	-4.066594571	-3.392746096	-3.800239095	-4.415757238	-4.148196476	-2.294687214	-2.270805628	-3.203295317	-4.165159996	-3.45098113	-3.115426748	-2.625769154	-3.45067288	-3.735580916	-2.624910413	-3.356145961	-4.386806579	-3.41499598	-3.256083809	-3.191811476	-3.074822045	-4.957183933	-3.430479531	-2.192140991	-2.975625949	-4.034810888	-3.099967397	-2.036872945	-2.842865242
Sla	-0.912322053	1.826300291	0.91819306	1.03646786	1.648380572	-2.225318102	-0.27887409	0.899575887	0.440296654	0.025839257	1.101184606	1.505048493	1.323395415	-2.276260701	1.510657221	0.189251173	0.921814497	0.641274554	0.515129816	0.460909841	0.119510733	1.480021045	0.932888819	-0.345782312	0.709394031	1.046402544	1.258018798	-0.338169417	0.485467862	0.31844051	1.023069942	1.114462127	0.185783063	1.219151697	1.00601222	1.839770057	1.275328498	0.385430704	0.625617292	-0.096063564	1.275769579	-0.193370016	0.700087562	0.870772288	1.3627782	0.256418551	-2.412887746	0.557214081	-3.196372576	0.820208343	1.332213156	0.260736419	1.203137707	1.617061483	2.050020715	0.07252424	1.503278696	0.490322834	0.676988694	-0.821765937	-0.726546397	0.805478968	2.185347855	0.005001455	0.345708294	0.935585258	-0.099342883	0.439396639	1.394859747	0.102708137	-0.154939813	0.467956489	2.638287868	1.105504441	1.271899951	1.035738643	0.351791303	0.809684007	0.450187937	-0.448552612	-0.515670615	0.924776511	-0.263059619	-0.086715894	-0.123314273	1.354841165	-0.297783646
Dnajc2	0.08176089	0.048412277	0.03116669	0.157818	0.280584774	-0.091669893	-0.083815392	-0.005060441	0.202112261	-0.222881745	-0.196679785	-0.201585328	-0.331614584	-0.00869118	0.07706933	-0.030437203	0.03531569	0.257809643	-0.142238953	-0.10613075	0.055400471	0.155715465	-0.065211648	-0.158391487	0.312259595	-0.02335249	0.02447116	-0.0624815	-0.140516526	-0.030590004	0.280430023	-0.192148019	-0.289872807	0.03197922	0.026077844	0.00166233	-0.137409887	-0.11879049	0.213380251	-0.2553359	-0.091601491	-0.217933793	0.04822802	-0.02439789	-0.06971514	-0.282121009	-0.020895335	-0.150839786	-0.143282429	-0.097862936	-0.046740308	-0.065249539	0.045425236	0.013801882	0.066955559	-0.038817616	0.048938168	-0.017939182	0.341191796	-0.131816476	-0.042322076	0.106935922	0.023823758	-0.202863345	-0.007908681	-0.323476696	-0.047631801	-0.148413566	0.159604699	-0.095180489	0.23973781	-0.156258826	0.139516957	-0.2136745	0.247414612	-0.128214145	-0.251315797	-0.058879245	-0.28241155	0.277543663	-0.208630908	-0.265039084	-0.157465623	-0.003657096	-0.141007536	-0.173378327	-0.086012006
Il17ra	0.11211746	0.28925457	0.26195873	0.48039839	-0.11421956	0.11906484	0.05334388	0.29327955	-0.01891577	0.36384709	0.20459216	0.22495035	0.4913985	-0.95433261	-1.513288478	0.0048266	0.65332566	0.15554645	-0.38944037	-0.10646779	-0.5680215	-0.6181996	-0.63674759	0.00643801	0.03989802	0.1583799	0.72322948	-0.04576332	-0.03733467	0.2115253	0.14452334	0.34561588	0.11365519	-0.01668988	-0.24230646	-0.09107246	0.17080851	0.26898879	0.12821345	-0.44086753	-1.2448241	-0.21579228	-0.10031523	-0.3696018	0.11043487	0.16134496	-0.21212039	-0.477291557	-0.122467467	0.006546923	0.324549293	0.049992423	0.073451573	-0.604919377	0.007060503	-0.232952051	-0.318880931	-0.241410741	-0.152190231	-0.358682871	-0.649838801	-0.361887041	-0.400726381	-0.333845071	-0.356329851	0.108622389	0.039873429	0.168988689	0.193729409	-0.169414331	0.191583429	-0.473350601	-0.188542441	-0.511623021	-0.490581891	0.139943189	0.403329409	0.011592089	0.651240519	-0.153787991	0.183412739	-0.455551801	0.304304449	-0.161297501	-0.089799211	0.404517799	-0.047652161
Tnf	3.94768461	4.22799595	3.99326004	3.46925168	3.96645942	2.63548331	3.33472846	4.34771654	4.51443866	3.79258771	3.38985706	5.26798664	5.07806281	2.78263299	2.62974871	3.8442244	4.68383574	4.12046982	4.16145223	3.93749618	3.78065454	2.97697599	3.22198552	3.82242417	4.065215049	3.87393678	3.69210221	3.57195902	4.00334074	4.53472034	5.561319697	4.64779633	4.965537175	4.988311781	4.879581545	4.00170928	3.6345976	3.73030256	4.12608763	3.2790494	2.96589239	3.97065592	3.98352407	2.54031698	3.16885331	3.37737113	3.8867073	3.061706057	2.367529037	4.147591497	4.236440497	4.173291477	5.712636867	3.760494697	3.834431697	4.494627707	4.434147947	4.644500288	4.860890613	3.965516157	3.777650577	3.815416297	3.745196177	2.983746557	3.291652427	3.871592057	4.640477677	4.494131767	4.527499367	3.287163187	3.295273417	3.983067967	4.410826687	3.259917447	6.565850517	3.737656057	3.467122607	4.685537113	4.739376357	4.232160317	4.503172957	2.574827637	3.468877447	2.794514257	3.326498227	3.143385847	3.233363317
Tlr2	1.71031833	1.55899089	2.03730402	1.64105985	2.17250897	0.60123038	1.1487567	0.86446704	1.03341518	1.13569242	1.89803367	1.49062903	2.07982174	0.26243908	0.90552396	0.7751038	2.29424802	2.34659372	1.18373774	1.54400607	0.96860162	1.38881394	0.67697445	1.14504065	1.8208256	1.32075694	1.32815976	1.21272013	1.60261953	1.42112711	2.02944931	0.89044175	1.2201931	1.05443133	1.94082901	1.39768758	1.26794636	0.78607385	0.78315359	0.7670517	1.17236705	1.07003882	1.13174279	1.29876375	1.53127842	0.59982093	0.75163004	0.905066758	1.039610798	1.386018548	1.423507188	1.504829928	1.578531888	1.139983668	1.406891538	1.317787291	1.576006931	1.556263621	1.563480291	1.172347801	1.048357031	0.525123691	0.670049411	1.123447431	1.620287651	0.801147661	1.349605121	1.670966171	2.016168411	0.835840891	0.994112241	1.495512341	2.144212011	0.924621981	2.125663931	0.610257951	1.025301781	1.972096451	2.011279861	1.326930411	1.498246381	0.981805711	1.475460021	1.408969961	1.332575691	0.837188921	1.096187811
Sgk1	0.31160584	0.00094704	0.25472101	0.49436517	1.35700154	-0.17487836	-0.25545368	-0.22297863	0.14784387	0.11856509	0.8844654	-0.28025032	0.41209451	-0.855928902	-0.102708994	-0.42912758	1.2803088	0.61545205	-0.03061828	0.22381977	0.308683619	1.206209523	-0.44596528	0.21078727	1.499992172	-0.01176833	0.31603463	-0.18715144	0.00224215	0.16019963	0.05824125	-0.46259679	-0.31243432	-1.14839469	0.10110569	-0.07734967	0.29030101	-0.11000058	-0.07233247	0.01223747	0.673982458	-0.29752566	1.397096924	-0.04487092	0.57443871	-0.45957842	-0.2250027	-0.097500923	0.140191927	0.315389737	0.312048447	0.304215187	-0.088877943	0.022864577	0.120396077	-0.266000443	-0.114202423	-0.093584283	0.161176397	-0.006514163	0.185637477	-0.426345493	-0.400161763	-0.306291383	0.045252887	-0.195539263	-0.072296573	-0.226330803	0.081186337	-0.574447983	-0.267832753	0.679392827	1.030354497	0.056939987	0.103611157	0.200983257	0.429379227	0.227415137	0.716413017	-0.078737083	0.340125877	-0.098753783	0.924100887	0.495455677	0.295978157	0.061183877	0.390768417
Ripk3	-0.49284256	-0.619822239	-0.605349481	0.266430444	-0.34978277	-0.276013752	-0.449381881	-0.531839171	-0.556660754	-0.447334842	-0.66510766	-1.117822671	-0.943520933	-0.363445272	0.083281388	-0.697219881	-0.824459875	-0.542374166	-0.34990502	-0.222813732	0.067671801	-0.309258332	-0.461772545	-0.337934449	-0.372355159	-0.397365569	-0.401835249	-0.069749546	-0.203805939	-0.654173603	-0.462356886	-0.637689871	-0.718748261	-0.413056156	-0.841457289	-0.313245808	-0.338898597	-0.308466169	-0.450973464	-0.489878335	-0.193715705	-0.80163989	-0.646839171	-0.458074794	-0.39143763	-0.76867243	-0.725837116	-0.347466189	-0.223676743	-0.42357606	-0.612096112	-0.323925788	-0.741895299	-0.634163143	-0.506606351	-0.7328441	-0.860716524	-0.681342033	-0.663955459	-0.139081487	-0.363214254	-0.970050897	-0.548722817	-0.536497641	-0.817853901	-0.694696375	-0.336248391	0.000624649	-0.111102662	-0.183760624	-0.615524935	-0.33166337	-0.409762247	-0.578015152	-0.778490172	-0.409456307	-0.324097398	-0.26255432	-0.654609261	-0.409080066	-0.150399844	-0.364118838	-0.118379389	-0.531195693	-0.614918071	-0.55110846	-0.122105689
St3gal3	1.613072829	1.643502205	1.856467673	1.048545215	1.281620902	1.412111814	2.086581382	2.421172485	2.057786847	1.60689914	1.758077825	1.820550323	1.391077489	0.958955763	0.983002162	2.256365366	1.720995492	1.544472124	1.623966309	1.957335667	1.459637043	1.603173204	1.875353601	1.40888885	1.413389284	1.940014549	1.869058735	1.625072033	1.541756993	1.771613141	2.091819081	1.78167304	2.128237412	1.733724874	1.950802032	1.532341536	1.425538306	2.052650885	2.033830779	1.174378786	0.836146437	1.948359962	1.450259267	1.365528174	1.314874042	1.913556261	2.529812273	1.599940332	1.566868978	1.663326189	1.413893322	1.434701224	1.862271381	1.80174369	1.821673162	1.988142419	1.929341409	1.909271843	2.319865141	1.242802799	1.880119443	2.108189238	2.026817617	1.637406976	1.610591609	1.688916128	1.705229717	1.483581444	1.657642545	1.348339426	1.890051571	1.591484914	1.790443709	1.851598185	1.95061008	1.575757244	1.224738269	1.857909994	1.390890857	1.95720796	1.821641364	1.635138938	1.438833219	1.37634369	1.354043553	1.062552039	0.514765971
