data	B6_i	B6_ii	B6_iii	B6_iv	B6_v	D2_i	D2_ii	D2_iii	D2_iv	BXD1_i	BXD1_ii	BXD2_i	BXD2_ii	BXD5_i	BXD5_ii	BXD8_i	BXD6_i	BXD6_ii	BXD9_i	BXD9_ii	BXD11_i	BXD11_ii	BXD12_ii	BXD13_i	BXD13_ii	BXD14_i	BXD14_ii	BXD15_i	BXD15_ii	BXD16_i	BXD16_ii	BXD18_i	BXD18_ii	BXD19_i	BXD19_ii	BXD20_i	BXD20_ii	BXD22_i	BXD22_ii	BXD27_i	BXD27_ii	BXD28_i	BXD28_ii	BXD29_i	BXD29_ii	BXD32_i	BXD32_ii	BXD34_i	BXD34_ii	BXD39_i	BXD39_ii	BXD40_i	BXD40_ii	BXD42_i	BXD42_ii	BXD43_i	BXD43_ii	BXD44_i	BXD44_ii	BXD48_i	BXD48_ii	BXD50_i	BXD50_ii	BXD51_i	BXD51_ii	BXD55_i	BXD55_ii	BXD60_i	BXD60_ii	BXD64_i	BXD64_ii	BXD68_i	BXD68_ii	BXD69_i	BXD69_ii	BXD73_i	BXD73_ii	BXD75_i	BXD75_ii	BXD79_i	BXD79_ii	BXD83_i	BXD83_ii	BXD86_i	BXD86_ii	BXD89_i	BXD70_i
Cd38	2.946939594	2.55824116	2.88859357	2.83393203	3.316906937	2.44223024	2.18236504	2.63622806	2.63629814	2.67683163	2.54629246	3.554236047	3.589591294	1.98336012	1.7999068	3.13763807	3.33437951	2.93876511	2.14759369	2.73993977	1.85051272	2.35471153	3.040171731	2.631713637	2.87955704	2.12367189	1.91093063	2.30013053	2.82865508	2.71177746	2.91399652	2.898158601	3.261215024	2.78003528	3.065722093	2.63700469	2.9443259	2.48483053	2.96618356	1.73198663	1.95202028	2.45968776	2.05840183	1.6049974	1.30855579	2.63160654	2.59242923	1.712833846	2.396468656	2.771286206	2.745324166	2.578652656	3.579425446	2.284156966	2.202267836	3.049200942	3.410541522	2.626046512	3.004642822	2.772363702	2.798035262	1.782143012	1.966429152	2.219121542	2.611251832	2.642546792	3.077299422	2.596453162	3.151210822	1.846802612	1.534346032	2.261332232	2.617782572	2.452376062	4.967875687	2.339652902	1.592285262	2.871959192	2.525885802	2.007213892	2.289747092	2.314027392	2.292983142	2.497317442	2.198344732	1.908056222	1.501170062
Trim21	0.767131082	1.420972003	0.611188412	1.050975104	0.159342491	0.338901971	0.757346098	1.103131239	1.321544305	0.025839257	0.139977089	0.195887694	0.025714866	-0.006047642	-0.026238621	1.075998621	1.581964494	0.681272622	0.787153005	1.125135621	0.366891874	0.575978811	0.077156263	0.46157261	1.39507912	1.062344088	1.675111907	0.858963051	0.734297341	0.988291908	1.060707598	0.882822917	0.373994291	1.05378138	0.62806404	1.785614288	1.24056308	0.930500477	1.355056582	0.245225595	0.122523318	0.497965118	1.067211127	0.619356966	0.83038375	0.773782974	1.489112353	-0.487590938	-0.358115837	1.322131177	0.800023228	1.010171209	0.693499483	1.590676977	1.477723669	1.462907702	1.385006277	0.224537492	0.912513863	0.666191682	0.743394708	1.680024291	0.998238844	0.265924663	0.662135277	1.098270655	1.431269878	0.537206248	0.738429728	0.121978057	1.155328505	0.006035005	0.816862247	0.27598707	0.840157167	0.787865515	0.184462299	0.718893815	0.725047218	1.389673766	0.483062373	0.197391748	0.851376118	0.539238631	0.395922129	0.35722638	0.03569486
Kpnb1	-0.34119756	-0.49514843	-0.4911623	-0.13091466	-0.49847246	-0.22905082	-0.54171447	-0.32985066	-0.4753442	-0.2948339	-0.17064308	-0.51919905	-0.62254397	-0.10430801	-0.22688649	-0.28137865	0.07006545	-0.15773073	-0.30586408	-0.48040849	-0.35187081	-0.35035213	-0.38518695	-0.26943142	-0.16682979	-0.56867841	-0.46391518	-0.2161888	-0.30293592	-0.34874308	-0.44272224	-0.31542643	-0.66279452	-0.65646744	-0.91635937	-0.55076185	0.22412742	-0.3828681	-0.64906616	0.00731418	-0.24087598	-0.18885806	-0.45442901	-0.37838416	-0.37185105	-0.62455735	-0.37200469	-0.38579324	0.18420322	-0.61762483	-0.44971336	-0.2974295	-0.14686402	-0.64515027	-0.48972736	-0.582891128	-0.531482468	-0.123753128	-0.180345228	-0.426165398	-0.540605398	-0.732627788	-0.545331258	-0.074301848	-0.025887628	-0.167952698	-0.335159738	-0.403670978	-0.300063828	-0.288903368	-0.598064398	-0.379781148	-0.419472378	-0.258723548	0.291471632	-0.307682928	-0.142472908	-0.559263898	-0.488348228	-0.438830008	-0.093050308	-0.390543868	-0.379388268	-0.332188488	-0.242401938	-0.365194938	-0.237073248
Six1	1.276148244	0.9617205	1.508173637	0.964003531	1.317920843	1.531851062	1.618137596	1.932742751	1.641765583	1.710957412	1.01482432	2.841014422	1.825464907	0.856633569	0.253291566	2.230259478	2.175697205	1.529828019	1.244482227	1.369710027	0.664995182	1.299305455	1.263164256	1.027261099	0.519196634	0.949829284	1.029304465	1.533128244	1.670316485	2.089353436	1.882026059	1.517426794	1.285119041	1.144490692	1.590974721	1.399197467	1.216434809	1.828374199	1.769673877	1.157693028	1.128493316	1.955021824	1.207842862	1.206664872	1.093782235	1.39743086	1.572005361	1.20810969	1.352422808	1.629118741	1.380475308	0.952890448	1.989906725	1.245051559	1.469307996	1.778582024	2.088957545	1.894582595	2.267569261	1.577192462	2.19557817	1.725287151	0.999781801	1.711980442	1.425381674	2.055655536	1.664430398	1.400768881	1.848425502	0.944202547	1.188547892	1.165452259	1.394206166	1.500360536	2.605988957	1.856985366	0.76103767	1.853748094	1.425175186	1.122689653	1.261102566	0.971378068	0.123198461	0.811986968	1.000455146	0.596951849	0.652746093
Slfn8	1.556907192	1.41711348	0.594653916	0.992677836	0.548362149	0.33513776	0.13866375	0.94620363	1.10448633	1.202554651	0.864981027	0.639978072	-0.054114684	-0.05153476	-0.576863943	1.1051179	1.51224491	0.0009589	-0.10414074	0.167913108	0.811195449	0.846181954	-0.08780104	1.669251115	1.29883819	0.47291954	0.58029508	-0.121957419	-0.057707561	0.72846939	0.50575001	1.223542847	1.086047279	2.149442729	1.66142232	1.31673531	2.430051089	0.89027024	0.62008624	1.003932225	-0.061265409	1.247869252	1.515642063	0.50767589	0.584209146	0.82891409	1.33138237	-0.559796297	0.487998504	1.939564008	1.17232974	1.344277259	-0.381344057	1.482643993	0.701503393	1.81154766	1.584196281	-0.0477049	0.678010217	1.349179593	1.463324223	-0.18270832	0.31382381	0.508644419	0.983549218	1.01104067	0.89053354	0.121163306	0.168251689	0.204288275	-0.49476846	0.83413756	1.29264743	-0.599961764	0.05071541	0.45912327	0.52008041	1.188655349	1.32154893	-0.07923007	0.17389563	0.219685465	1.208568044	0.7875113	0.701026652	0.798941012	0.59729053
Palld	1.547109566	1.24133779	1.187653736	1.03646786	0.104060056	-2.073315009	2.332560622	1.551652583	1.217904232	-2.095722723	0.416686431	-0.401842102	-0.146089868	0.325775313	1.318012143	-1.521242209	-0.570038599	0.54173888	-0.899907683	0.438189765	-0.281027197	1.020589426	0.0584197	-1.345782312	0.732114107	1.439413737	0.895448719	2.536299701	1.396462856	-2.166986318	1.470528918	0.358880854	-0.136145033	1.688636981	0.890535003	0.884624294	-0.309634002	-0.029606795	1.072363651	-0.640384081	-1.18366204	-1.671417313	0.584610344	1.107811485	0.848205027	-0.988693947	1.420002268	0.956772214	-2.217936706	0.901455019	1.585756265	-0.22833263	-0.15946334	1.586098656	-0.846012533	0.414002186	0.459358632	2.362686607	-0.149477998	0.279416527	0.20727358	0.678503166	-0.425152684	0.737962172	0.333549285	-0.90552821	-1.276306822	-1.058968191	-0.279603852	-0.003866473	0.945530034	-0.061624055	-0.066764051	-0.542963949	-0.698496534	-0.2666396	-0.315292764	0.418603459	0.126221586	0.522281954	0.005785996	0.976747839	-0.314592867	0.641785174	-0.186820161	1.165804394	0.387648701
Klrk1	-0.919840022	-1.263006251	-1.633904806	-2.585467712	-1.36786878	-1.099498941	-0.492780046	-0.792759526	-0.081248604	-0.984691411	-0.391111647	-0.865088695	-1.375096031	-1.143675061	-0.721289507	-1.403186448	-3.177455951	-2.677513833	-1.336006797	-1.273916842	-1.132836995	-0.52484471	-0.907632967	-0.749175723	-0.310534089	-1.889400744	-2.412124083	-0.740457129	-1.058175752	-1.205460466	-0.893834443	-1.055894885	-0.510768264	1.180530403	1.329167619	-1.499750628	-2.248233455	-0.766572389	-0.536243435	-1.629438574	-1.658088065	-1.772618866	-1.505254065	-1.098040363	-1.126519191	-0.870187766	-0.884488135	-0.983374074	-1.24918971	-1.025654204	-0.725320411	-0.864784324	-1.156812789	-1.101959408	-1.555861201	-1.265608592	-1.539212167	-0.915925023	-0.888422916	-1.718817798	-0.187798481	-1.136813861	-1.44129007	-0.371509549	-0.76239078	-0.680999003	-1.375383371	-0.492747635	-0.428958656	-0.177594811	-0.713484068	-1.689196153	-2.174216604	-0.369130391	-0.904672097	-1.216250003	-1.334764349	-1.025304569	-1.469716595	-1.744219652	-2.246943787	-0.842723951	-0.892630847	-0.738913366	-1.265526894	-1.487808057	-1.258003856
Ptgir	0.18100662	0.72050563	0.568257	0.21846569	0.01586614	-0.30468717	-0.57525094	-0.29668828	-0.4123889	-0.36423871	-0.52450814	-1.60539364	-1.36357869	0.26666658	0.429999559	-0.39692521	-0.13942645	-0.77364429	0.20583157	-0.06202529	0.294828993	0.621008777	-0.13422537	-0.16460269	0.44645062	0.26240664	0.25651989	-0.03995164	-0.0384742	-0.75194882	-0.58736324	-0.87677393	-1.39495485	-0.7808483	-0.80824007	-0.16453937	0.26018501	-0.17249477	-0.25384955	0.3230293	0.594760386	-0.14738149	0.17365403	0.61067222	0.37575834	-0.11030735	-0.80096539	0.300534707	-0.242708983	-0.734594713	-0.620674043	0.081864347	-0.211485473	-0.045031103	-0.007031523	-0.546528916	-0.795699266	-0.247964766	-0.484534726	0.197375814	0.067138054	1.352832573	0.767518416	-0.316874556	-0.339709716	-0.452824466	-0.617876356	-0.416984086	-0.567622856	0.216558724	0.851837691	0.110990804	0.230885954	-0.222446626	-0.725264026	-0.277137436	0.385643094	-1.051322606	-0.716014486	0.046586364	-0.230112836	-0.000524616	0.160671784	-0.550885526	-0.376797346	-0.004375036	0.320874844
Piga	0.651087984	0.433982867	0.703454212	0.50821975	0.762271538	0.138293736	0.171857833	-0.089343953	0.004197539	0.304652475	0.153652025	0.357491305	0.45105469	0.286675494	0.154513411	0.411988778	0.018993566	-0.103559283	0.443745183	0.574981607	-0.03210239	0.327770936	0.56158811	0.141095189	-0.136528548	0.34071904	0.884801475	0.508584322	0.238019994	0.222719891	0.313660069	0.610536198	0.371126183	-0.090392673	-0.026555642	0.632442166	0.643060283	0.273462272	0.128375332	0.193878714	0.012735173	0.447851484	0.782549722	0.774632256	0.520186097	-0.107393625	0.007876364	0.532095638	0.100993721	0.185678555	0.39314121	0.496751467	0.381704738	0.212179538	0.152231977	0.139804232	-0.015025168	0.389837267	0.188211442	0.405306473	-0.091113867	0.97556799	-0.055872793	0.574815017	0.477762621	0.486045426	0.099856615	0.401041477	0.5517974	0.37196762	0.245905118	0.444896935	0.431267419	-0.187877297	0.392395608	0.151549892	0.147063454	0.436376392	0.369372897	0.479938113	0.57958644	0.311387362	0.248076185	-0.228307184	-0.397679536	0.593947359	0.352233038
Lpgat1	-0.292022358	0.121861811	0.078373744	0.102487329	0.065743124	0.122426284	0.344925616	0.050616164	0.113567572	-0.122274661	0.138785715	-0.399235606	-0.211324332	0.396928983	0.494287259	0.111548816	0.018936964	0.479834099	0.042035216	0.169171184	-0.333801736	0.03631854	-0.706363838	-0.227253923	0.289185325	0.427912911	0.636282131	0.560947225	0.257906846	-0.180661255	-0.203845039	0.120917149	-0.071416718	-0.220399951	-0.200438657	0.040303045	0.185531828	0.03628114	0.111245178	0.479154618	0.784589219	-0.233472776	0.163767223	0.854299854	0.534378726	0.038726055	-0.091207771	0.035038601	-0.498974094	0.6441621	0.451937726	0.002452484	-0.034800111	0.404256919	0.01351291	-0.006913203	-0.027584367	0.193532299	0.264070107	0.532793335	0.15668689	0.714119563	0.213889681	0.744006339	0.51112127	-0.288763211	-0.343600562	-0.088303704	0.020613304	-0.049860478	0.070553154	0.265895222	0.10186995	0.422131235	-0.111903809	0.067856034	-0.272439525	0.309945493	-0.140849712	-0.013223133	-0.138344396	0.138307201	-0.051506331	0.192109665	0.031799573	0.061413741	0.359752686
Dusp1	1.09766203	0.83133054	0.70768796	0.14547193	1.03522931	0.54019708	0.38790365	0.27992348	1.205957176	1.179968839	0.85450241	0.805058138	1.318760988	0.67050328	0.8804953	0.73330653	0.16791481	0.06321161	0.55932729	0.36847223	1.10561042	1.23027079	1.53776438	1.19414085	0.81301554	0.73145423	0.51563369	0.57229213	0.42271663	0.806158191	1.438107442	1.128817424	1.375197306	1.625685076	1.82123724	0.90015024	0.42873328	0.57368037	1.261439756	0.79715806	0.93400796	1.16098774	0.54697268	0.33394631	0.26661547	0.42145306	0.22649365	0.958551957	0.815817207	0.422630494	0.542033049	0.929317997	1.216073942	1.202867887	0.681720787	0.985382018	0.549136708	0.868268109	1.160290934	0.984297136	1.721353777	2.007582057	1.327564466	0.227269166	0.184348546	0.723341086	0.608873276	1.022484636	1.033198796	0.855013636	1.467388244	0.822371166	0.583659536	0.76951094	1.073640897	0.862312586	0.119630966	0.463901246	0.129056386	1.604346976	1.211803656	0.776367056	0.562429836	0.615908186	0.345953416	0.117441296	0.674350556
Tgfb1	0.25147758	0.44980752	0.57586119	0.5044118	0.55298006	0.22847352	0.1147783	0.20324175	0.19112981	0.10770821	0.13810835	0.31745355	0.61071776	-0.02876652	0.15379962	0.10365438	0.39048996	0.29630952	0.21399053	0.34034555	0.2410237	0.13288783	0.04490881	0.17300841	0.24618866	0.50225765	0.58084227	0.2565939	0.28851168	0.40988392	0.31735332	0.18691818	0.228061	0.28850581	0.46343255	0.33709659	0.47698693	0.3156807	0.01377595	0.1243265	0.29485626	0.00225344	0.42025343	0.32117517	0.36770347	0.12272733	-0.37465999	0.358500439	-0.460819871	0.196665959	0.411009549	0.308488549	0.611258729	0.134540079	0.504872689	0.173616791	0.157266461	0.207043451	0.226323331	0.033479331	-0.094976249	0.492778691	0.120023821	0.390438301	0.311365171	0.234598671	0.321829331	0.352380051	0.624345961	0.102504441	0.656646651	0.234788921	0.364261151	0.255508191	0.372839721	0.145585121	0.229126201	0.481365511	0.638461691	0.176595421	0.368756271	0.031592231	0.211430541	-0.099386279	0.178348461	0.268903631	0.262683691
Gramd4	-0.795880148	-0.865764988	-0.992760324	-0.88411578	-0.968188297	-0.856084293	-1.081110042	-0.988686926	-1.023905296	-0.891099198	-0.925730396	-1.642850202	-1.729585877	0.016305334	-0.4270585	-1.046561764	-1.479130104	-1.520306321	-1.020723278	-1.454022445	-0.264348455	-0.415509689	-0.450593944	-0.414169286	-0.592396418	-0.601940865	-1.005523987	-0.689701225	-1.168854389	-1.467495429	-1.249200268	-0.661376359	-0.889438797	-0.514521324	-0.654592747	-1.019495372	-0.585919432	-1.219268015	-1.297623014	-0.32476976	-0.078118258	-0.811575051	-0.927436217	-0.806421085	-0.564821292	-1.275559489	-1.488359714	-0.593908237	-0.869830916	-1.28059187	-1.441091749	-0.634988179	-0.756519226	-0.619572191	-0.848726594	-1.055786672	-1.396768054	-1.104449559	-1.315623311	-0.525218288	-0.670743251	-0.781290961	-0.677096154	-0.754617468	-0.94557083	-0.615010718	-0.933331129	-0.83994578	-0.999295693	-0.397207238	-1.132908253	-0.973870178	-1.505172538	-0.702558459	-1.343375192	-0.759010304	-0.576043543	-1.405502841	-1.26302779	-1.064944804	-0.896638076	-0.497348987	-0.668863913	-0.788837959	-0.634026178	-0.673487759	-0.095062946
Lta	1.69713501	1.405613069	2.183465939	1.469427267	1.36425451	-0.435885089	-0.374031323	0.769244018	0.486100344	1.337236684	-0.885876339	2.384754259	2.660976774	0.94378778	1.464853532	2.150135044	-0.872601369	-1.700711193	0.20318581	0.976331408	0.891241745	1.12750463	1.439241485	1.894532018	1.421229917	2.655288325	2.58538078	2.265901906	2.311314737	1.202247492	0.608032442	0.130403671	1.033779969	4.750674939	5.247598207	2.226234754	1.904685118	0.818390112	0.843739276	0.096581513	1.038730381	0.953073552	1.572928539	2.088828382	2.818842968	-0.104171164	0.757037255	0.968159777	0.553613302	3.016419599	2.547277216	0.541237014	0.616191066	1.833421198	1.499170746	3.55953471	2.811374417	0.663018393	0.975554073	1.056611876	1.744867217	1.649293672	1.290991202	1.602443776	0.656641535	2.261659509	2.243080439	1.996037189	2.202620119	0.860168959	1.516426527	1.023201694	0.246775093	0.06079443	0.53009173	-0.102072047	-0.258772384	2.856438768	2.357539642	0.782679268	0.425739786	1.359136761	1.160074228	0.889243433	1.178249284	2.194310398	-1.001456738
Hmg20a	0.199944179	0.015917676	-0.095287071	0.24382529	-0.436639094	0.311990516	0.077942462	0.019205254	-0.15822936	-0.204260043	-0.634020531	-0.13054008	-0.614320307	0.332879283	-0.425212442	-0.16145457	-0.165236323	-0.435395968	-0.256778475	-0.102154556	-0.014303975	-0.136073676	-0.17078111	0.052584156	-0.234440909	-0.071326247	-0.042283298	0.227721159	0.074146678	-0.634909397	-0.428754228	0.141130076	-0.291990192	-0.302232008	-0.496488121	0.017851162	0.50150918	0.250501124	-0.087158837	0.174118114	-0.23324407	-0.046780418	-0.393183862	-0.013324952	0.062191048	-0.175896939	-0.195987129	0.042095786	0.313564081	-0.281110018	-0.231662526	-0.119611874	-0.359171363	-0.28829912	-0.214821987	0.022668011	-0.204459569	0.003520783	-0.183335472	-0.3055669	-0.367594838	0.080534273	0.008433275	0.281993662	0.046956712	0.131462064	-0.065404768	-0.041576128	0.040766893	-0.094803347	0.113039141	-0.160589461	-0.203298926	-0.269915823	-0.491818477	-0.297664428	-0.035786616	-0.626444937	-0.265488731	-0.307643496	-0.263343071	-0.151485879	-0.070009015	-0.205522354	-0.129131116	-0.141524436	-0.264915158
Ets2	1.85347767	2.117466133	2.543883598	1.84844681	2.419209613	1.44340171	1.66259269	1.774516553	2.172307362	2.10048296	1.99038597	2.713806633	2.503428056	0.26516226	0.64385046	1.83435094	2.344065486	2.47211674	1.71172018	1.74931162	1.02561405	1.72321621	1.00109897	1.13904526	1.6514409	1.59667256	1.71490642	1.67591418	2.076415888	2.23357215	3.188986661	1.92705369	2.162947075	1.7402151	2.432575972	1.61298512	1.83048441	1.49455242	2.148387175	0.90122918	1.12744683	1.58507222	1.645547093	0.91824097	1.2538302	1.25104384	1.775168315	0.901368554	1.216589815	1.824144254	2.300839076	1.383272024	2.812129745	1.634846074	1.685564804	2.291482657	2.883350444	2.625930943	2.891367558	1.410195764	1.874726609	2.497808078	1.949854344	1.886475954	2.264772144	1.519890714	2.227163094	1.82424254	2.147478205	1.186126974	1.883671823	1.306523124	1.97849385	1.959176472	3.003180259	1.224091134	0.585903064	2.176577688	1.815107544	1.854514185	1.520864104	1.100755274	1.179584974	1.103171954	0.835695774	0.630833434	0.541740874
Cd97	-0.591519306	-0.642338092	-0.69569281	-0.443206222	-0.892170655	-0.21050942	-0.717562854	-0.74397565	-0.865359598	-0.366665425	-1.200972395	-1.909989006	-1.121389428	-0.12293221	-0.130888808	-0.726874305	-1.462235315	-1.574316042	-0.60624942	-0.8310276	-0.44033166	-0.3228438	-0.662087471	-0.9931382	-0.56049982	-0.84955587	-1.232490665	-0.634626825	-1.067818163	-1.407994416	-1.06020068	-0.298512904	-0.376146462	-0.10072856	-0.48538281	-0.596572993	-0.190052383	-0.345996706	-0.896566342	-0.39806038	-0.921447111	-0.756377642	-0.90679801	-0.922549116	-1.013858305	-0.18818078	-0.76754928	-0.068381176	-0.532475086	-1.251896258	-1.019548765	-0.741440167	-1.468144692	-0.397744656	-0.504991826	-0.97947219	-1.594396906	-1.033505564	-1.493447581	-0.31511369	-0.610247337	-0.403483883	-0.236586363	-0.847957554	-1.185016304	-0.835590241	-1.129370439	-0.338713984	-0.227978956	0.074276557	0.068449717	-0.517485753	-0.687144543	-0.630137252	-1.519387153	-1.477491572	-0.263373381	-1.482624732	-1.249932514	-0.620671286	-0.661759935	0.064179007	-0.189837823	-0.816255263	-0.910812111	-0.570385493	-0.348497981
Lrrc8c	-0.13368245	-0.08391257	0.27705727	0.04517124	-0.32199708	-0.21331029	-0.948168359	-0.277424628	-0.573775302	0.09938005	-0.32117589	-0.838965419	-0.480248939	-0.17015927	-0.25874581	0.198170492	0.06329403	-0.2311784	0.08703617	-0.24646945	-0.37838741	-0.46661961	-0.37122589	0.13608669	0.01992754	-0.23549266	-0.17605725	0.340995848	0.068319386	-0.37455699	-0.949230547	0.264865206	-0.2352037	0.43488039	-0.18132455	0.10859717	0.60589143	-0.507936443	-1.036492647	0.16063883	0.18462169	0.04680981	-0.42509314	-0.21186063	-0.40064776	-0.10708865	-0.79563457	-0.136676383	0.410223748	-0.875673412	-1.016464381	0.067413167	0.143554017	0.068022527	-0.094988833	-0.665844222	-0.853067185	-0.699914026	-0.85407055	-0.048714381	-0.020192841	0.28827548	-0.20474206	-0.143265547	-0.493601263	0.416263519	0.259941529	0.244337099	0.113288899	0.234352049	0.165560921	-0.004979301	-0.121283281	-0.240898946	0.760905646	-0.635849337	-0.356185141	0.204562019	0.054194649	-0.526350181	-0.522075631	-0.170374941	-0.197625501	-0.452541631	-0.202207511	-0.319558901	0.297686329
4631426J05Rik	-0.998324572	-1.062723884	-1.027785925	-1.724344477	-1.088585023	-0.295106433	-0.27887409	-0.065550255	-0.484415219	-0.934359735	-0.145192456	-0.279851578	-1.768863093	-1.012279956	-0.793348966	-1.046703698	-2.543566388	-1.830186753	-1.365030414	-1.049076062	-1.366657268	-1.24514413	-1.001081311	-0.392075963	-0.584956425	-1.503648221	-1.192424037	-0.664213621	-0.881903204	-2.186885875	-0.885956399	-0.53761457	-0.18553306	0.010880384	0.161883131	-0.91226363	-0.924343847	-0.859681794	-0.351235862	-0.943189015	-0.793226515	-1.260742366	-1.047327773	-0.975177879	-1.412155244	-0.158618948	-0.343763386	-1.269735171	-1.071628993	-1.051300657	-0.743727554	-0.995267904	-0.726754633	-0.7049664	-1.002533639	-0.797210799	-1.185002482	-0.784523627	-0.400639198	-1.242516146	-1.521787711	-1.306368912	-1.134012046	-1.139744976	-0.669077077	-1.104074783	-0.746059196	-0.833848898	-1.156699332	-0.78494881	-0.808417216	-1.389883538	-1.235563281	-0.510656522	-0.544989554	-1.098090561	-0.959673353	-0.631551274	-0.874486299	-1.031698517	-0.777206446	-1.00880501	-1.021205834	-0.688970623	-0.839504053	-1.708307229	-0.78564805
Pla2g4a	0.17800686	0.20126947	-0.02271367	0.26473684	-0.04347994	-0.26796522	-0.48436027	0.10588492	-0.04738262	0.29261214	-0.03721084	0.92687059	0.34784846	-0.541165094	-0.877444698	0.52677461	1.24183181	0.32248015	-0.54838992	-0.577185459	-0.515114652	-0.436268253	-0.18431061	-0.034074059	-0.143279363	0.06764687	0.23158539	-0.17810557	-0.10201225	0.37407632	0.70416637	0.47303934	0.46961164	-0.135352	-0.35015051	0.24605097	-0.05821596	-0.14606577	-0.06545829	-0.12650702	-0.41107254	-0.061440605	-0.767906069	-0.26676169	-0.409083871	-0.41791095	-0.15539152	-0.671606918	-0.341311668	-0.298342488	-0.487944698	0.118139002	0.803438072	0.262292092	0.170344642	0.294723599	0.280917619	-0.285999611	0.153649239	-0.116885661	0.066121259	-0.260256281	-0.077643311	0.040198159	0.178224289	0.349721559	0.345449589	-0.113478841	0.037416999	-0.142890251	-0.546400951	-0.232730191	0.063019069	-0.748275391	0.749728208	0.008281929	-0.056682261	0.121407289	0.227396329	-0.002530031	-0.082432481	-0.548038791	-0.159730571	-0.402756271	-0.516418551	0.145835569	-0.803983044
Tk1	-2.283218693	-2.070606217	-2.11286642	-1.163804443	-2.27972651	-2.172850683	-1.460410379	-1.715133958	-2.060080515	-1.782287361	-1.673511382	-2.608292978	-2.471020447	-2.071250358	-1.947393167	-1.879484003	-1.551179572	-1.454000734	-2.273366079	-2.370201204	-2.290365062	-2.27500856	-2.711956308	-2.245883742	-1.821764602	-2.354041095	-1.526546332	-1.92898464	-1.856236549	-2.008288571	-1.906812297	-1.725241572	-2.142778125	-3.550757996	-3.278169962	-2.203640193	-2.687304649	-1.421436903	-2.389168968	-2.251940792	-2.140593318	-2.913219301	-2.345210011	-1.459525345	-1.955164547	-2.734213266	-2.366927704	-2.326285835	-2.372402837	-2.262489258	-1.786073809	-1.966737401	-2.238803485	-2.301197696	-2.214980428	-2.547438178	-2.563507059	-2.284041269	-2.19324694	-2.501403052	-2.764569496	-2.249716821	-2.540447192	-1.950568078	-1.913553838	-2.041046504	-1.921512762	-2.106389988	-2.220138448	-2.511534125	-1.924587961	-2.818853745	-2.213847279	-2.39192416	-2.18609565	-1.920224728	-1.453687383	-2.28767284	-1.897531665	-2.343605026	-1.924689478	-2.141832222	-2.099607437	-2.027483262	-2.326258822	-1.586152493	-1.91498013
Cd80	1.04470644	1.05751002	1.62124163	0.55059415	0.79945022	0.76341707	0.7756125	1.41368184	1.05964826	1.24784814	1.01492979	1.39007927	0.97753996	0.94059025	0.63102339	1.16701518	-0.42027885	-0.31279065	1.29583737	1.12322244	0.87860546	0.92004906	1.93801526	1.10686121	0.24930649	1.38623689	1.36725507	1.0040105	1.08013664	1.36602122	1.476007458	1.70025591	1.82469065	2.10588597	2.22840464	1.12827801	1.35373271	0.98341568	0.89543998	0.61531906	0.51855783	1.17632268	0.41340014	0.77415025	0.63214196	0.83052006	0.77609011	0.961477794	1.429191064	0.724292954	0.711737505	0.977382734	1.021197202	1.338058134	1.146640144	0.9769663	0.975939233	0.706862231	0.93338611	0.742290715	1.879718605	1.771169455	1.530614485	1.148667789	0.906777245	0.946301295	0.956511025	1.359783065	1.660221915	1.012192845	1.645422565	0.912714445	0.603899045	0.820986675	1.173238361	0.816360745	0.587207355	0.753429435	0.399553765	1.612357155	1.198376775	1.084754355	0.687195975	0.253790455	0.151675045	0.618580115	0.723413735
Etv6	0.42440304	0.06269557	0.21472703	-0.16343939	0.41334565	0.093827551	-0.000180459	-0.34820781	-0.297508321	0.081311667	0.038864268	-0.18421561	0.16672879	0.38214825	0.80309855	-0.03626059	0.23828058	0.395024736	-0.05056435	0.118864697	0.10684533	0.766877801	0.67720387	0.21773594	0.21624762	0.22348854	0.04113257	-0.04174952	-0.034963609	0.14954563	0.29084227	0.27796086	0.28943923	0.18892778	0.37208431	0.04031924	0.59850514	-0.405188	0.11325053	0.01273937	0.54629852	0.03160403	0.06135275	0.16805877	0.10198749	-0.32560175	-0.101657648	0.321667639	0.962142023	0.015736308	-0.08558218	0.199302029	-0.399070751	0.459082089	-0.040305661	-0.057516343	-0.134437453	-0.055397537	-0.095420035	0.082416257	0.270741337	0.271278577	0.105412637	0.002103416	0.032009494	-0.049772003	-0.330302573	0.116577617	0.102844305	0.133793577	-0.290694053	0.263974867	-0.360097423	2.859081636	0.041030855	1.536939819	-0.708810803	0.846687033	-0.231561321	0.302396007	0.142095887	1.206299394	-0.009723853	0.43830633	0.010385457	-0.536003606	-0.001679983
